genes,AD,ALS,AnorexiaNervosa,BipolarDisorder,MigraineDisorder,MS,PartialEpilepsy,PD,Schizophrenia,UnipolarDepression
DCTN1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEPDC5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DMTF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DNAJC13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
DNAJC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
DPYD,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
DRD2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
DRD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ECHDC3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFHC1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EIF4G1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ELAVL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ELMO1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ELOVL7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
EMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EMX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENOX1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000259171,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000260272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000283809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000285404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EOMES,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EPHA1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERBB4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ESR2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
FAM120A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FAM47E-STBD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FBXO7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FERMT2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FGGY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FHIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FHL5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FIG4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOXO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FOXP1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FSTL5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FTCDNL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FXR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FYN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GABRA1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GABRB3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GABRD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GABRG2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GAL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GALC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GALNT10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GBA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GCH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GIGYF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GJA1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GLIS3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GPM6A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GPNMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GPR65,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
GRAMD1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GRIA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GRIN2A,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
GRM3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
GRM5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GSDME,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
GTF2A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HCN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HFE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHEX,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HLA-DRA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
HNRNPA1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMER1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HTRA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IFI44,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IGSF9B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
IL12A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IL22RA2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IL2RA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IL7R,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IMMP2L,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
INAVA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
INPP5D,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INSYN2B,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IRAG1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IRAK1BP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
IRF8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ITGA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ITGB5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ITPKB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
JADE2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JAZF1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
KANSL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
KCNB1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
KCNG1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KCNK5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KCNMA1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
KCNQ3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
KCNT1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
KCNV1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KIF5A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBH,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LEPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LGI1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LIN28B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LINC02210-CRHR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LINGO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LMAN2L,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LRFN5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
LRRK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LUZP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MAD1L1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MAN2A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MAP4K4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MAPT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MATR3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEF2C,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
METTL9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MGAT5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MMEL1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MMP16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MOB3B,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPPED2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MRGPRE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MRPS33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MRTFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MSRA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
MT-ND1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MT-TQ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MYC,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
N4BP2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAA11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
NDST3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NDUFAF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NEFH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEGR1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
NEK1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NGEF,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
NKAIN2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
NMUR2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NOTCH3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NPAS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NPRL2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NPRL3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NR4A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NRXN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
OLFM4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
OPTN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PACRG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PARK7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PAX5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PAX6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PCDH17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PCDH9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PCLO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
PCNX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PDCD1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PDE4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PFN1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHACTR1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PHACTR3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PHIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PICALM,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PINK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PLA2G6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PLCE1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PLCG2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLCH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLEKHG5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PMFBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PODXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
POM121L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PON2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPARGC1A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPOX,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PPP1R13B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PPP1R16B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PPP2R2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PRDM16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRICKLE1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRKD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PRKN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PRODH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PRPH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRRT2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PSAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PSEN1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSEN2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAB27B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RAB39B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RASGRP1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
RBFOX1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
RBM12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RELN,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RGS1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RGS4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RGS6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
RIT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RNASE4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNF111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RNF213,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RREB1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RTN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
RTN4R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S1PR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SATB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
