genes,Asthma,cardiovascular_x,coronaryheart,DiabetesMellitus_x,cardiovascular_y,DiabetesMellitus_y
CERKL,0.0,0.0,0.0,1.0,0.0,0.0
CERS1,0.0,1.0,0.0,0.0,0.0,0.0
CHD7,0.0,1.0,0.0,0.0,1.0,0.0
CHM,0.0,1.0,0.0,0.0,1.0,0.0
CHST14,0.0,1.0,0.0,0.0,1.0,0.0
CMIP,0.0,1.0,0.0,1.0,0.0,0.0
COA6,0.0,1.0,0.0,0.0,0.0,0.0
COG1,0.0,1.0,0.0,0.0,1.0,0.0
COL1A2,0.0,1.0,0.0,0.0,0.0,0.0
COL3A1,0.0,1.0,0.0,0.0,1.0,0.0
COL4A1,0.0,1.0,1.0,0.0,1.0,0.0
COL4A2,0.0,0.0,1.0,0.0,0.0,0.0
COL5A1,0.0,1.0,0.0,0.0,1.0,0.0
COLGALT1,0.0,1.0,0.0,0.0,0.0,0.0
COQ9,0.0,1.0,0.0,0.0,1.0,0.0
COX15,0.0,1.0,0.0,0.0,1.0,0.0
CSRP3,0.0,1.0,0.0,0.0,1.0,0.0
DBH,0.0,1.0,0.0,0.0,0.0,0.0
DES,0.0,1.0,0.0,0.0,1.0,0.0
DGKB,0.0,0.0,0.0,1.0,0.0,0.0
DHH,0.0,1.0,0.0,0.0,0.0,0.0
DM1-AS,0.0,1.0,0.0,0.0,1.0,0.0
DMD,0.0,1.0,0.0,0.0,1.0,0.0
DMPK,0.0,1.0,0.0,0.0,1.0,0.0
DNAJC19,0.0,1.0,0.0,0.0,1.0,0.0
DNASE1L1,0.0,1.0,0.0,0.0,1.0,0.0
DOLK,0.0,1.0,0.0,0.0,1.0,0.0
DPM3,0.0,1.0,0.0,0.0,1.0,0.0
DSC2,0.0,1.0,0.0,0.0,1.0,0.0
DSG2,0.0,1.0,0.0,0.0,1.0,0.0
DSP,0.0,1.0,0.0,0.0,1.0,0.0
DYNC2LI1,0.0,1.0,0.0,0.0,0.0,0.0
EBF1,0.0,1.0,0.0,0.0,0.0,0.0
EDNRA,0.0,1.0,1.0,0.0,1.0,0.0
EIF2AK4,0.0,1.0,0.0,0.0,1.0,0.0
ELN,0.0,1.0,0.0,0.0,1.0,0.0
EMD,0.0,1.0,0.0,0.0,1.0,0.0
ENG,0.0,1.0,0.0,0.0,1.0,0.0
ENPEP,0.0,1.0,0.0,0.0,0.0,0.0
ENPP1,0.0,1.0,0.0,0.0,1.0,0.0
ENSG00000289490,0.0,1.0,0.0,0.0,0.0,0.0
EPHB4,0.0,1.0,0.0,0.0,0.0,0.0
ETFA,0.0,1.0,0.0,0.0,1.0,0.0
ETFB,0.0,1.0,0.0,0.0,0.0,0.0
ETFDH,0.0,1.0,0.0,0.0,1.0,0.0
ETS1,0.0,0.0,0.0,1.0,0.0,0.0
EVC,0.0,1.0,0.0,0.0,1.0,0.0
EVC2,0.0,1.0,0.0,0.0,1.0,0.0
EYA4,0.0,1.0,0.0,0.0,0.0,0.0
F11,0.0,1.0,0.0,0.0,1.0,0.0
F12,0.0,1.0,0.0,0.0,0.0,0.0
FAT4,0.0,1.0,0.0,0.0,1.0,0.0
FBN1,0.0,1.0,0.0,0.0,1.0,0.0
FGD1,0.0,1.0,0.0,0.0,1.0,0.0
FGF5,0.0,1.0,0.0,0.0,0.0,0.0
FHL1,0.0,1.0,0.0,0.0,1.0,0.0
FHL5,0.0,1.0,0.0,0.0,0.0,0.0
FKTN,0.0,1.0,0.0,0.0,1.0,0.0
FLAD1,0.0,1.0,0.0,0.0,1.0,0.0
FLG,1.0,0.0,0.0,0.0,0.0,0.0
FLNA,0.0,1.0,0.0,0.0,0.0,0.0
FLNC,0.0,1.0,0.0,0.0,1.0,0.0
FOXC2,0.0,1.0,0.0,0.0,1.0,0.0
FOXF1,0.0,1.0,0.0,0.0,1.0,0.0
FZD4,0.0,1.0,0.0,0.0,0.0,0.0
GAA,0.0,1.0,0.0,0.0,1.0,0.0
GATA2,0.0,1.0,0.0,0.0,1.0,0.0
GATA4,0.0,1.0,0.0,0.0,1.0,0.0
GATA5,0.0,1.0,0.0,0.0,1.0,0.0
GATA6,0.0,1.0,0.0,1.0,1.0,1.0
GBA1,0.0,1.0,0.0,0.0,1.0,0.0
GCK,0.0,0.0,0.0,1.0,0.0,1.0
GDF1,0.0,1.0,0.0,0.0,1.0,0.0
GDF2,0.0,1.0,0.0,0.0,0.0,0.0
GJA1,0.0,1.0,0.0,0.0,0.0,0.0
GJA5,0.0,1.0,0.0,0.0,0.0,0.0
GLA,0.0,1.0,0.0,0.0,1.0,0.0
GLIS3,0.0,0.0,0.0,1.0,0.0,1.0
GLMN,0.0,1.0,0.0,0.0,1.0,0.0
GLP1R,0.0,0.0,0.0,1.0,0.0,0.0
GRK6,0.0,1.0,0.0,0.0,1.0,0.0
GSN,0.0,1.0,0.0,0.0,1.0,0.0
GUCY1A1,0.0,1.0,1.0,0.0,0.0,0.0
HAAO,0.0,1.0,0.0,0.0,0.0,0.0
HADHA,0.0,1.0,0.0,0.0,1.0,0.0
HCN4,0.0,1.0,0.0,0.0,0.0,0.0
HHIPL1,0.0,1.0,1.0,0.0,0.0,0.0
HIVEP2,0.0,0.0,0.0,1.0,0.0,0.0
HMGA2,0.0,0.0,0.0,1.0,0.0,0.0
HMGCL,0.0,1.0,0.0,0.0,0.0,0.0
HNF1A,0.0,0.0,0.0,1.0,0.0,1.0
HNF1B,0.0,0.0,0.0,1.0,0.0,1.0
HNF4A,0.0,0.0,0.0,1.0,0.0,1.0
HRAS,0.0,1.0,0.0,0.0,1.0,0.0
HTRA1,0.0,1.0,0.0,0.0,1.0,0.0
IDH1,0.0,1.0,0.0,0.0,0.0,0.0
IDUA,0.0,1.0,0.0,0.0,1.0,0.0
IGF2BP2,0.0,0.0,0.0,1.0,0.0,0.0
IKBKG,0.0,1.0,0.0,0.0,0.0,0.0
IL18R1,1.0,0.0,0.0,0.0,0.0,0.0
IL1RL1,1.0,0.0,0.0,0.0,0.0,0.0
IL2RA,1.0,0.0,0.0,0.0,0.0,0.0
IL33,1.0,0.0,0.0,0.0,0.0,0.0
IL4R,1.0,0.0,0.0,0.0,0.0,0.0
INS,0.0,0.0,0.0,1.0,0.0,1.0
INSR,0.0,0.0,0.0,1.0,0.0,1.0
JAG1,0.0,1.0,0.0,0.0,1.0,0.0
JAZF1,1.0,0.0,0.0,1.0,0.0,0.0
JCAD,0.0,1.0,1.0,0.0,0.0,0.0
JPH2,0.0,1.0,0.0,0.0,1.0,0.0
JUP,0.0,1.0,0.0,0.0,1.0,0.0
KAT6A,0.0,1.0,0.0,0.0,1.0,0.0
KAT6B,0.0,1.0,0.0,0.0,0.0,0.0
KCNE1,0.0,1.0,0.0,0.0,1.0,0.0
KCNE2,0.0,1.0,0.0,0.0,1.0,0.0
KCNH2,0.0,1.0,0.0,0.0,1.0,0.0
KCNJ11,0.0,0.0,0.0,1.0,0.0,1.0
KCNJ2,0.0,1.0,0.0,0.0,1.0,0.0
KCNK3,0.0,1.0,0.0,0.0,1.0,0.0
KCNK5,0.0,1.0,0.0,0.0,0.0,0.0
KCNQ1,0.0,1.0,0.0,0.0,1.0,0.0
KIF11,0.0,1.0,0.0,0.0,1.0,0.0
KRAS,0.0,1.0,0.0,0.0,1.0,0.0
KRIT1,0.0,1.0,0.0,0.0,0.0,0.0
KYNU,0.0,1.0,0.0,0.0,0.0,0.0
LAMA1,0.0,0.0,0.0,1.0,0.0,0.0
LAMP2,0.0,1.0,0.0,0.0,1.0,0.0
LDB3,0.0,1.0,0.0,0.0,1.0,0.0
LDLR,0.0,1.0,1.0,1.0,1.0,1.0
LMNA,0.0,1.0,0.0,0.0,1.0,0.0
LOX,0.0,1.0,0.0,0.0,1.0,0.0
LPA,0.0,1.0,1.0,0.0,1.0,0.0
LRMDA,0.0,0.0,0.0,1.0,0.0,0.0
LRP6,0.0,1.0,1.0,0.0,0.0,0.0
LZTR1,0.0,1.0,0.0,0.0,1.0,0.0
MAP2K1,0.0,1.0,0.0,0.0,1.0,0.0
MAP2K2,0.0,1.0,0.0,0.0,1.0,0.0
MAP3K1,0.0,1.0,0.0,0.0,0.0,0.0
MED13L,0.0,1.0,0.0,0.0,1.0,0.0
MGAT2,0.0,1.0,0.0,0.0,1.0,0.0
MMP21,0.0,1.0,0.0,0.0,0.0,0.0
MPI,0.0,1.0,0.0,0.0,1.0,0.0
MRAS,0.0,1.0,0.0,0.0,0.0,0.0
MT-ATP6,0.0,1.0,0.0,0.0,1.0,0.0
MT-ATP8,0.0,1.0,0.0,0.0,1.0,0.0
MT-CO1,0.0,1.0,0.0,0.0,1.0,0.0
MT-CO2,0.0,1.0,0.0,0.0,1.0,0.0
MT-CO3,0.0,1.0,0.0,0.0,1.0,0.0
MT-CYB,0.0,1.0,0.0,0.0,1.0,0.0
MT-ND1,0.0,1.0,0.0,0.0,1.0,0.0
MT-ND2,0.0,1.0,0.0,0.0,1.0,0.0
MT-ND3,0.0,1.0,0.0,0.0,1.0,0.0
MT-ND4,0.0,1.0,0.0,0.0,1.0,0.0
MT-ND4L,0.0,1.0,0.0,0.0,1.0,0.0
MT-ND5,0.0,1.0,0.0,0.0,1.0,0.0
MT-ND6,0.0,1.0,0.0,0.0,1.0,0.0
MTNR1B,0.0,0.0,0.0,1.0,0.0,1.0
MYBPC3,0.0,1.0,0.0,0.0,1.0,0.0
MYH11,0.0,1.0,0.0,0.0,1.0,0.0
MYH6,0.0,1.0,0.0,0.0,1.0,0.0
MYH7,0.0,1.0,0.0,0.0,1.0,0.0
MYL2,0.0,1.0,0.0,0.0,1.0,0.0
MYL3,0.0,1.0,0.0,0.0,1.0,0.0
MYLK,0.0,1.0,0.0,0.0,1.0,0.0
MYO6,0.0,1.0,0.0,0.0,0.0,0.0
MYPN,0.0,1.0,0.0,0.0,1.0,0.0
NCAPH2,0.0,1.0,0.0,0.0,1.0,0.0
NDE1,0.0,1.0,0.0,0.0,1.0,0.0
NEURL1,0.0,1.0,0.0,0.0,0.0,0.0
NEUROD1,0.0,0.0,0.0,1.0,0.0,1.0
NEXN,0.0,1.0,0.0,0.0,1.0,0.0
NFATC2,0.0,0.0,0.0,1.0,0.0,0.0
NKX2-5,0.0,1.0,0.0,0.0,1.0,0.0
NOD2,1.0,0.0,0.0,0.0,0.0,0.0
NODAL,0.0,1.0,0.0,0.0,1.0,0.0
NOTCH1,0.0,1.0,0.0,0.0,0.0,0.0
NOTCH2,0.0,1.0,0.0,0.0,1.0,0.0
NOTCH3,0.0,1.0,0.0,0.0,1.0,0.0
NPNT,0.0,1.0,0.0,0.0,0.0,0.0
NR0B1,0.0,1.0,0.0,0.0,0.0,0.0
NR2F2,0.0,1.0,0.0,0.0,0.0,0.0
NRAS,0.0,1.0,0.0,0.0,1.0,0.0
NSD1,0.0,1.0,0.0,0.0,0.0,0.0
OAT,0.0,1.0,0.0,0.0,1.0,0.0
OR4A47,0.0,1.0,0.0,0.0,0.0,0.0
OTULINL,1.0,0.0,0.0,0.0,0.0,0.0
PDCD10,0.0,1.0,0.0,0.0,0.0,0.0
PDE3A,0.0,1.0,0.0,0.0,0.0,0.0
PDX1,0.0,0.0,0.0,1.0,0.0,1.0
PGM1,0.0,1.0,0.0,0.0,1.0,0.0
PHACTR1,0.0,1.0,1.0,0.0,1.0,0.0
PIGL,0.0,1.0,0.0,0.0,1.0,0.0
PIK3CA,0.0,1.0,0.0,0.0,1.0,0.0
PKP2,0.0,1.0,0.0,0.0,1.0,0.0
PLCE1,0.0,1.0,0.0,0.0,0.0,0.0
PLCG2,0.0,1.0,0.0,0.0,0.0,0.0
PLEKHG1,0.0,1.0,0.0,0.0,0.0,0.0
PLN,0.0,1.0,0.0,0.0,1.0,0.0
PLOD1,0.0,1.0,0.0,0.0,1.0,0.0
PLPP3,0.0,1.0,1.0,0.0,0.0,0.0
PPA2,0.0,1.0,0.0,0.0,1.0,0.0
PPARG,0.0,0.0,0.0,1.0,0.0,1.0
PPP1CB,0.0,1.0,0.0,0.0,1.0,0.0
PPP1R13L,0.0,1.0,0.0,0.0,1.0,0.0
PRDM16,0.0,1.0,0.0,0.0,0.0,0.0
PRDM6,0.0,1.0,0.0,0.0,0.0,0.0
PREX1,0.0,1.0,0.0,0.0,0.0,0.0
PRKAG2,0.0,1.0,0.0,0.0,1.0,0.0
PRNP,0.0,1.0,0.0,0.0,0.0,0.0
PROS1,0.0,1.0,0.0,0.0,1.0,0.0
PROX1,0.0,0.0,0.0,1.0,0.0,0.0
PRPH2,0.0,1.0,0.0,0.0,0.0,0.0
PRR5L,1.0,0.0,0.0,0.0,0.0,0.0
PRSS23,0.0,1.0,0.0,0.0,0.0,0.0
PSMD12,0.0,1.0,0.0,0.0,0.0,0.0
PTEN,0.0,1.0,0.0,0.0,1.0,0.0
PTF1A,0.0,0.0,0.0,1.0,0.0,1.0
PTPN11,0.0,1.0,0.0,0.0,1.0,0.0
PUF60,0.0,1.0,0.0,0.0,1.0,0.0
RAF1,0.0,1.0,0.0,0.0,1.0,0.0
RASGRP1,0.0,0.0,0.0,1.0,0.0,1.0
RBM10,0.0,1.0,0.0,0.0,1.0,0.0
RBM20,0.0,1.0,0.0,0.0,0.0,0.0
RELN,0.0,1.0,0.0,0.0,1.0,0.0
RFX6,0.0,0.0,0.0,1.0,0.0,0.0
RIT1,0.0,1.0,0.0,0.0,1.0,0.0
RNF213,0.0,1.0,0.0,0.0,0.0,0.0
ROBO4,0.0,1.0,0.0,0.0,1.0,0.0
RRAS2,0.0,1.0,0.0,0.0,0.0,0.0
RREB1,0.0,0.0,0.0,1.0,0.0,0.0
RYR2,0.0,1.0,0.0,0.0,1.0,0.0
SARS2,0.0,1.0,0.0,0.0,1.0,0.0
SCN1A,0.0,1.0,0.0,0.0,1.0,0.0
SCN1B,0.0,1.0,0.0,0.0,1.0,0.0
SCN3B,0.0,1.0,0.0,0.0,1.0,0.0
SCN4B,0.0,1.0,0.0,0.0,1.0,0.0
SCN5A,0.0,1.0,0.0,0.0,1.0,0.0
SCN9A,0.0,1.0,0.0,0.0,1.0,0.0
SCO2,0.0,1.0,0.0,0.0,1.0,0.0
SDHA,0.0,1.0,0.0,0.0,0.0,0.0
SERPING1,0.0,1.0,0.0,0.0,1.0,0.0
SGCA,0.0,1.0,0.0,0.0,1.0,0.0
SGCB,0.0,1.0,0.0,0.0,1.0,0.0
SGCD,0.0,1.0,0.0,0.0,1.0,0.0
SGCG,0.0,1.0,0.0,0.0,1.0,0.0
SH3PXD2A,0.0,1.0,0.0,0.0,0.0,0.0
SHOC2,0.0,1.0,0.0,0.0,0.0,0.0
SLC22A5,0.0,1.0,0.0,0.0,1.0,0.0
SLC25A3,0.0,1.0,0.0,0.0,1.0,0.0
SLC25A4,0.0,1.0,0.0,0.0,0.0,0.0
SLC26A1,0.0,1.0,0.0,0.0,1.0,0.0
SLC2A10,0.0,1.0,0.0,0.0,1.0,0.0
SLC2A2,0.0,0.0,0.0,1.0,0.0,1.0
SLC7A1,0.0,1.0,0.0,0.0,0.0,0.0
SMAD3,1.0,1.0,0.0,0.0,1.0,0.0
SMAD4,0.0,1.0,0.0,0.0,0.0,0.0
SMAD9,0.0,1.0,0.0,0.0,1.0,0.0
SNTA1,0.0,1.0,0.0,0.0,0.0,0.0
SOS1,0.0,1.0,0.0,0.0,1.0,0.0
SOS2,0.0,1.0,0.0,0.0,1.0,0.0
SP110,0.0,1.0,0.0,0.0,0.0,0.0
SP140,0.0,1.0,0.0,0.0,1.0,0.0
SPRED1,0.0,1.0,0.0,0.0,1.0,0.0
SRY,0.0,1.0,0.0,0.0,0.0,0.0
SSUH2,0.0,1.0,0.0,0.0,1.0,0.0
STAMBPL1,0.0,1.0,0.0,0.0,1.0,0.0
STING1,0.0,1.0,0.0,0.0,0.0,0.0
SVEP1,0.0,1.0,0.0,0.0,0.0,0.0
SWAP70,0.0,1.0,1.0,0.0,1.0,0.0
SYNE1,0.0,1.0,0.0,0.0,0.0,0.0
TAB2,0.0,1.0,0.0,0.0,1.0,0.0
TAF1,0.0,1.0,0.0,0.0,1.0,0.0
TAFAZZIN,0.0,1.0,0.0,0.0,1.0,0.0
TBCD,0.0,1.0,0.0,0.0,1.0,0.0
TBX1,0.0,1.0,0.0,0.0,1.0,0.0
TBX5,0.0,1.0,0.0,0.0,1.0,0.0
TCAP,0.0,1.0,0.0,0.0,0.0,0.0
TCF21,0.0,1.0,1.0,0.0,1.0,0.0
TCF7L2,0.0,1.0,0.0,0.0,1.0,0.0
TEK,0.0,1.0,0.0,0.0,1.0,0.0
TFAP2B,0.0,1.0,0.0,1.0,1.0,0.0
TGFB2,0.0,1.0,0.0,0.0,1.0,0.0
TGFB3,0.0,1.0,0.0,0.0,1.0,0.0
TGFBR1,0.0,1.0,0.0,0.0,1.0,0.0
TGFBR2,0.0,1.0,0.0,0.0,1.0,0.0
THSD1,0.0,1.0,0.0,0.0,0.0,0.0
TLE1,0.0,0.0,0.0,1.0,0.0,0.0
TMEM43,0.0,1.0,0.0,0.0,1.0,0.0
TNFRSF11A,1.0,0.0,0.0,0.0,0.0,0.0
TNNC1,0.0,1.0,0.0,0.0,1.0,0.0
TNNI3,0.0,1.0,0.0,0.0,1.0,0.0
TNNT2,0.0,1.0,0.0,0.0,1.0,0.0
TP53,0.0,1.0,0.0,0.0,0.0,0.0
TPM1,0.0,1.0,0.0,0.0,1.0,0.0
TRDN,0.0,1.0,0.0,0.0,1.0,0.0
TREX1,0.0,1.0,0.0,0.0,1.0,0.0
TRPM4,0.0,1.0,0.0,0.0,1.0,0.0
TSPAN15,0.0,1.0,0.0,0.0,0.0,0.0
TTN,0.0,1.0,0.0,0.0,1.0,0.0
TTR,0.0,1.0,0.0,0.0,1.0,0.0
VCL,0.0,1.0,0.0,0.0,0.0,0.0
WFS1,0.0,0.0,0.0,1.0,0.0,1.0
WSCD2,0.0,0.0,0.0,1.0,0.0,0.0
ZFP57,0.0,0.0,0.0,1.0,0.0,1.0
ZIC3,0.0,1.0,0.0,0.0,1.0,0.0
