symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
CDH13	0.4732753007476552	0.7652035953432039	No data	No data	No data	0.26596674250235797	No data	No data	cadherin 13
TERT	0.4841465431861844	0.7599134970145264	No data	No data	No data	0.7294160755603525	No data	No data	telomerase reverse transcriptase
MRAS	0.4671746512748433	0.7586915585751671	No data	No data	No data	0.19550537503232582	No data	No data	muscle RAS oncogene homolog
SCARB1	0.4785728555023369	0.7480965578241711	No data	No data	No data	0.5589478096298064	No data	0.5027426763456404	scavenger receptor class B member 1
PLCG2	0.45458438569799414	0.7462369694767547	No data	No data	No data	0.030396539880581056	No data	No data	phospholipase C gamma 2
HDGFL1	0.4484512780346323	0.7376683000704418	No data	No data	No data	No data	No data	No data	HDGF like 1
FGD5	0.4480074100764498	0.7319227419032065	No data	No data	No data	0.10030858160591748	No data	No data	FYVE, RhoGEF and PH domain containing 5
FGF5	0.44488638787117635	0.7298506732787329	No data	No data	No data	0.039073063319826906	No data	No data	fibroblast growth factor 5
PCSK9	0.6989269185346034	0.7245579327452757	No data	0.9482270962017929	No data	0.9141808460618094	No data	No data	proprotein convertase subtilisin/kexin type 9
CHRNB4	0.4402735641208664	0.7242165816414796	No data	No data	No data	No data	No data	No data	cholinergic receptor nicotinic beta 4 subunit
REST	0.4363710613841412	0.7170373474716896	No data	No data	No data	0.015198269940290528	No data	No data	RE1 silencing transcription factor
FN1	0.44912969271674213	0.7129866727963718	No data	No data	No data	0.5159513582401902	No data	No data	fibronectin 1
FES	0.4328084918596398	0.7102652949244216	No data	No data	No data	0.03343619386863916	No data	No data	FES proto-oncogene, tyrosine kinase
MCF2L	0.4301580900260016	0.7075773948547508	No data	No data	No data	No data	No data	No data	MCF.2 cell line derived transforming sequence like
DAB2IP	0.43714157220259653	0.707464069568925	No data	No data	No data	0.23201246377723364	No data	No data	DAB2 interacting protein
FHL1	0.4300514614438586	0.7074019989337645	No data	No data	No data	No data	No data	No data	four and a half LIM domains 1
TRIB1	0.4463186210757632	0.7015374156412862	No data	No data	No data	0.6524565134214743	No data	No data	tribbles pseudokinase 1
TENT5A	0.42072447476350433	0.6920598140716104	No data	No data	No data	No data	No data	No data	terminal nucleotidyltransferase 5A
CD36	0.5312665753526814	0.6919603434148274	No data	No data	No data	0.09995057791399063	No data	0.3462013909698779	CD36 molecule
RASGEF1B	0.4206206424464153	0.6918890177943089	No data	No data	No data	No data	No data	No data	RasGEF domain family member 1B
SEMA5A	0.41462204383366463	0.682021778568533	No data	No data	No data	No data	No data	No data	semaphorin 5A
HNF1A	0.4319768085526764	0.6808555573672611	No data	No data	No data	0.5942698272586164	No data	No data	HNF1 homeobox A
LPL	0.5260725569415382	0.6720429021867109	No data	No data	No data	0.9097367642748286	No data	0.40635276600022774	lipoprotein lipase
CXCL12	0.4305563907647088	0.6718018576903879	No data	No data	No data	0.7286142327065153	No data	No data	C-X-C motif chemokine ligand 12
ABCA1	0.43646359585858824	0.6714965145034292	No data	No data	No data	0.9290591729862127	No data	No data	ATP binding cassette subfamily A member 1
APOA5	0.43101513963565213	0.667252532931056	No data	No data	No data	0.8346928690626945	No data	No data	apolipoprotein A5
ZNF652	0.40417317086385784	0.6648341759485352	No data	No data	No data	No data	No data	No data	zinc finger protein 652
ATP2B1	0.4045198438089291	0.6641178086339468	No data	No data	No data	0.025732359705571892	No data	No data	ATPase plasma membrane Ca2+ transporting 1
KCNE2	0.4037094565302569	0.6588456077837895	No data	No data	No data	0.10451586594479649	No data	No data	potassium voltage-gated channel subfamily E regulatory subunit 2
PARP12	0.4009005382458024	0.6588430129953681	No data	No data	No data	0.012158615952232422	No data	No data	poly(ADP-ribose) polymerase family member 12
UMPS	0.4001776312788667	0.6582618167249387	No data	No data	No data	No data	No data	No data	uridine monophosphate synthetase
ARHGEF26	0.40368301976016324	0.6553437920274352	No data	No data	No data	0.17368245148432007	No data	No data	Rho guanine nucleotide exchange factor 26
HTRA1	0.39874190023590006	0.6545323038841439	No data	No data	No data	0.02735688589252295	No data	No data	HtrA serine peptidase 1
TCF7L2	0.41494680451119315	0.653420255316589	No data	No data	No data	0.5827145981278552	No data	No data	transcription factor 7 like 2
SLC22A3	0.4187311077499024	0.6521299191455954	No data	No data	No data	0.7330191510236035	No data	No data	solute carrier family 22 member 3
ZC3HC1	0.40470245936656246	0.6503502558586723	No data	No data	No data	0.30709118972588473	No data	No data	zinc finger C3HC-type containing 1
TWIST1	0.4121125112714237	0.6490930665233874	No data	No data	No data	0.5760144307370109	No data	No data	twist family bHLH transcription factor 1
SHROOM3	0.3939647453552752	0.6480420911443298	No data	No data	No data	No data	No data	No data	shroom family member 3
TNS1	0.39236020173468367	0.6435789463335958	No data	No data	No data	0.03647584785669726	No data	No data	tensin 1
BMAL1	0.40454438429817174	0.6409698816818425	No data	No data	No data	0.20180824768293404	No data	0.39980568904928265	basic helix-loop-helix ARNT like 1
MFGE8	0.3939003936531833	0.6355717694057225	No data	No data	No data	0.24728936150180716	No data	No data	milk fat globule EGF and factor V/VIII domain containing
SMAD7	0.38845741927097727	0.635551695180492	No data	No data	No data	0.06862525487039182	No data	No data	SMAD family member 7
PLG	0.6501708380064094	0.63531603942068	No data	0.903488966486043	No data	0.3223657210917671	No data	No data	plasminogen
SMAD3	0.5036033980524963	0.6348299595381346	No data	No data	No data	0.7308119373130116	No data	No data	SMAD family member 3
GUCY1B1	0.7011355101693393	0.6343923540642147	No data	0.9947165863184698	No data	No data	No data	No data	guanylate cyclase 1 soluble subunit beta 1
NAT2	0.389895883319347	0.6329140822396816	No data	No data	No data	0.16870079633722487	No data	No data	N-acetyltransferase 2
PDS5B	0.3840351624084593	0.6317086811808499	No data	No data	No data	No data	No data	No data	PDS5 cohesin associated factor B
ABCG8	0.391758856293753	0.6315968622019599	No data	No data	No data	0.2563341787232884	No data	No data	ATP binding cassette subfamily G member 8
IL6R	0.40435114065465255	0.6306154856604596	No data	No data	No data	0.6902287416026951	No data	No data	interleukin 6 receptor
SERPINH1	0.3846956473967839	0.6305913796926279	No data	No data	No data	0.044074982826842524	No data	No data	serpin family H member 1
ATP1B1	0.38395042203274726	0.630049462703374	No data	No data	No data	0.030396539880581056	No data	No data	ATPase Na+/K+ transporting subunit beta 1
ABO	0.38607300804873645	0.6286203887281675	No data	No data	No data	0.128807875819959	No data	No data	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
ADAMTS7	0.40503430057728856	0.627841137574144	No data	No data	No data	0.7681906272946946	No data	No data	ADAM metallopeptidase with thrombospondin type 1 motif 7
APOB	0.4146310960542283	0.6273252114119039	No data	No data	No data	0.9516693754019384	No data	0.3207594870898316	apolipoprotein B
PREX1	0.38171324865153267	0.6272813785632075	No data	No data	No data	0.012158615952232422	No data	No data	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1
CDKN2A	0.39325292671765144	0.6270819715762523	No data	No data	No data	0.395784639195667	No data	No data	cyclin dependent kinase inhibitor 2A
PID1	0.3794119576808802	0.6241038604582573	No data	No data	No data	No data	No data	No data	phosphotyrosine interaction domain containing 1
PALLD	0.3810435741807468	0.6239085179014812	No data	No data	No data	0.057584556107100775	No data	No data	palladin, cytoskeletal associated protein
TMEM106B	0.39706143643455777	0.6226633815981082	No data	No data	No data	0.6094506246056501	No data	No data	transmembrane protein 106B
ZEB2	0.3845756838221896	0.6214596836077407	No data	No data	No data	0.22276228510455745	No data	No data	zinc finger E-box binding homeobox 2
MORF4L1	0.3796372077603705	0.6212827430476207	No data	No data	No data	0.06383273374922022	No data	No data	mortality factor 4 like 1
ARHGAP26	0.3770355704439498	0.6201948838999607	No data	No data	No data	No data	No data	No data	Rho GTPase activating protein 26
COL6A3	0.37968612728672907	0.6195394195610342	No data	No data	No data	0.10030858160591748	No data	No data	collagen type VI alpha 3 chain
FARP1	0.3708143912497197	0.609961516518885	No data	No data	No data	No data	No data	No data	FERM, ARH/RhoGEF and pleckstrin domain protein 1
ABHD2	0.36374708293963237	0.5983363309914324	No data	No data	No data	No data	No data	No data	abhydrolase domain containing 2, acylglycerol lipase
PLEKHG1	0.40027546462649627	0.5947343949682123	No data	No data	0.5095068014782996	No data	No data	No data	pleckstrin homology and RhoGEF domain containing G1
CYP46A1	0.359651370901943	0.5915991956895522	No data	No data	No data	No data	No data	No data	cytochrome P450 family 46 subfamily A member 1
FDX1	0.3573501814989594	0.5878139138580933	No data	No data	No data	No data	No data	No data	ferredoxin 1
ZFPM2	0.35650457649768164	0.5833948714244651	No data	No data	No data	0.060561728318737684	No data	No data	zinc finger protein, FOG family member 2
NCALD	0.35270448518727676	0.5801720961875062	No data	No data	No data	No data	No data	No data	neurocalcin delta
MAP1S	0.352526451943152	0.5798792450195374	No data	No data	No data	No data	No data	No data	microtubule associated protein 1S
MC4R	0.3617280615617524	0.5783155479884106	No data	No data	No data	0.17507449085796303	No data	0.2561820381135371	melanocortin 4 receptor
TDRD15	0.3512467436459595	0.577774222042876	No data	No data	No data	No data	No data	No data	tudor domain containing 15
SEMA5B	0.35002798868356955	0.5751615318759776	No data	No data	No data	0.012158615952232422	No data	No data	semaphorin 5B
FER	0.34862524924082916	0.5734620628046381	No data	No data	No data	No data	No data	No data	FER tyrosine kinase
ZFHX3	0.35279761364652673	0.5729065876994187	No data	No data	No data	0.14837395464041628	No data	No data	zinc finger homeobox 3
HGFAC	0.34821780226106497	0.5727918434616389	No data	No data	No data	No data	No data	No data	HGF activator
CARF	0.34775492772548267	0.5720304499981053	No data	No data	No data	No data	No data	No data	calcium responsive transcription factor
PRKCE	0.3501262431124123	0.5701739962307574	No data	No data	No data	0.11514175035029167	No data	No data	protein kinase C epsilon
CTAGE1	0.3458741962085131	0.5689367894624681	No data	No data	No data	No data	No data	No data	cutaneous T cell lymphoma-associated antigen 1
EHBP1L1	0.3458722417754298	0.5689335745684522	No data	No data	No data	No data	No data	No data	EH domain binding protein 1 like 1
CCDC71L	0.3449152426630412	0.5673593836964839	No data	No data	No data	No data	No data	No data	coiled-coil domain containing 71 like
MAD2L1	0.3422911096693489	0.5630428841804177	No data	No data	No data	No data	No data	No data	mitotic arrest deficient 2 like 1
NOS3	0.37704823502614093	0.562600747168946	No data	No data	No data	0.9084399260179384	No data	0.5486837717772445	nitric oxide synthase 3
SLC22A1	0.34408167683215884	0.5625686204633561	No data	No data	No data	0.06839221473130737	No data	No data	solute carrier family 22 member 1
LIPA	0.3515688466884878	0.5620221576367845	No data	No data	No data	0.325637989055349	No data	No data	lipase A, lysosomal acid type
BCAS3	0.34296165693496733	0.5594808589922871	No data	No data	No data	0.09330049046678351	No data	No data	BCAS3 microtubule associated cell migration factor
VAMP8	0.3419602566933599	0.5571243790370557	No data	No data	No data	0.10748554241105468	No data	No data	vesicle associated membrane protein 8
FGD6	0.3377171140160572	0.5555190086484302	No data	No data	No data	No data	No data	No data	FYVE, RhoGEF and PH domain containing 6
ZNF827	0.33753727307124776	0.5552231839500994	No data	No data	No data	No data	No data	No data	zinc finger protein 827
SLC18A1	0.33727784231599006	0.5547964400570825	No data	No data	No data	No data	No data	No data	solute carrier family 18 member A1
IGF2R	0.33592978648716443	0.5519710597831131	No data	No data	No data	0.012158615952232422	No data	No data	insulin like growth factor 2 receptor
MRTFA	0.3432449475680266	0.5505658080562014	No data	No data	No data	0.28092134079341863	No data	No data	myocardin related transcription factor A
AGT	0.3613558435291874	0.5498545595593757	No data	No data	No data	0.8909672835220047	No data	No data	angiotensinogen
MTHFD1L	0.33664690986988394	0.548522214223114	No data	No data	No data	0.10472779737563054	No data	No data	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like
ARHGEF12	0.33414951630843975	0.5481307543241302	No data	No data	No data	0.030396539880581056	No data	No data	Rho guanine nucleotide exchange factor 12
DEPTOR	0.3328259065229599	0.5474733437268414	No data	No data	No data	No data	No data	No data	DEP domain containing MTOR interacting protein
MMP3	0.4210343580722006	0.547137717850459	No data	No data	No data	0.3891330571923589	No data	No data	matrix metallopeptidase 3
VEGFA	0.3613585394478067	0.5468624889217233	No data	No data	No data	0.9508973879034384	No data	No data	vascular endothelial growth factor A
PIK3CG	0.3375596714857027	0.5455278154848316	No data	No data	No data	0.19464424312530076	No data	No data	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
CFAP161	0.3305644481566274	0.5437534164337727	No data	No data	No data	No data	No data	No data	cilia and flagella associated protein 161
DCLK2	0.32999921436030777	0.5428236497587823	No data	No data	No data	No data	No data	No data	doublecortin like kinase 2
NGF	0.33479070978617925	0.542790363426564	No data	No data	No data	0.1582986494933451	No data	No data	nerve growth factor
DHX36	0.3288392399298906	0.5409155799012025	No data	No data	No data	No data	No data	No data	DEAH-box helicase 36
PSRC1	0.34052932835862937	0.5395643597303683	No data	No data	No data	0.41161055942870617	No data	No data	proline and serine rich coiled-coil 1
TTC32	0.32933286542792617	0.539380268005511	No data	No data	No data	0.046945767148897415	No data	No data	tetratricopeptide repeat domain 32
CD109	0.32654240844348054	0.537137466511597	No data	No data	No data	No data	No data	No data	CD109 molecule
HSD17B12	0.3265895325395415	0.5366070512737269	No data	No data	No data	0.012158615952232422	No data	No data	hydroxysteroid 17-beta dehydrogenase 12
MX1	0.32650815861056515	0.5364731973395356	No data	No data	No data	0.012158615952232422	No data	No data	MX dynamin like GTPase 1
WT1	0.3252311955646336	0.5349806208903547	No data	No data	No data	No data	No data	No data	WT1 transcription factor
ADAMTS3	0.3250165261174558	0.5346275059502642	No data	No data	No data	No data	No data	No data	ADAM metallopeptidase with thrombospondin type 1 motif 3
ZNF831	0.32421597099025085	0.533310653554646	No data	No data	No data	No data	No data	No data	zinc finger protein 831
MYL2	0.3239059008546826	0.5328006117262234	No data	No data	No data	No data	No data	No data	myosin light chain 2
LIPC	0.3535035225725625	0.5306603347870085	No data	No data	No data	0.8541575380493289	No data	0.3653208145547634	lipase C, hepatic type
IFIH1	0.32752559596544745	0.5305476695609975	No data	No data	No data	0.1641413153551377	No data	No data	interferon induced with helicase C domain 1
SVEP1	0.3294596343503765	0.5294734047739141	No data	No data	No data	0.24925353681030116	No data	No data	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
CORO6	0.3204723639506479	0.5271527042381934	No data	No data	No data	No data	No data	No data	coronin 6
RDX	0.31848231221625267	0.5238792202459142	No data	No data	No data	No data	No data	No data	radixin
MAP3K7CL	0.32008694859623327	0.5219592442638775	No data	No data	No data	0.09118961964174316	No data	No data	MAP3K7 C-terminal like
TGFB1	0.3448003038895546	0.5207833798083941	No data	No data	No data	0.9277387666672398	No data	No data	transforming growth factor beta 1
CELSR2	0.3204716830450782	0.5178996562485554	No data	No data	No data	0.18503855903358443	No data	No data	cadherin EGF LAG seven-pass G-type receptor 2
BMPR1B	0.31404381683052995	0.516578232365122	No data	No data	No data	No data	No data	No data	bone morphogenetic protein receptor type 1B
THSD7A	0.3158480607753804	0.5165064226645039	No data	No data	No data	0.06079307976116211	No data	No data	thrombospondin type 1 domain containing 7A
NDUFA12	0.5849891274485615	0.513874874892014	No data	0.8337939758909385	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A12
PRIM2	0.3112804263599525	0.5120326648738319	No data	No data	No data	No data	No data	No data	DNA primase subunit 2
CNNM2	0.3121411669982598	0.5119751300292628	No data	No data	No data	0.029467756717563298	No data	No data	cyclin and CBS domain divalent metal cation transport mediator 2
SCML4	0.3128341221796155	0.5104848436363563	No data	No data	No data	0.08207065767756885	No data	No data	Scm polycomb group protein like 4
MAP9	0.3078632186738345	0.5064116177093467	No data	No data	No data	No data	No data	No data	microtubule associated protein 9
SMG6	0.30893795621538145	0.5063556869642015	No data	No data	No data	0.03647584785669727	No data	No data	SMG6 nonsense mediated mRNA decay factor
MTAP	0.3128879253139254	0.5061056453882428	No data	No data	No data	0.17142466404985693	No data	No data	methylthioadenosine phosphorylase
BUD13	0.31357819620185645	0.5029878579111691	No data	No data	No data	0.2564892775160716	No data	No data	BUD13 homolog
MAT2A	0.306130319763233	0.5020413035917676	No data	No data	No data	0.030396539880581056	No data	No data	methionine adenosyltransferase 2A
FBN1	0.31599345035673226	0.5006491884292406	No data	No data	No data	0.3827208608952677	No data	No data	fibrillin 1
DGKH	0.3037801996082454	0.49969536138275494	No data	No data	No data	No data	No data	No data	diacylglycerol kinase eta
ACTRT2	0.3029847275980171	0.4983868703285864	No data	No data	No data	No data	No data	No data	actin related protein T2
SLC5A3	0.3046515760670096	0.49641724580961455	No data	No data	No data	0.09422927362980127	No data	No data	solute carrier family 5 member 3
CCDC92	0.30778687654725784	0.4961116433313281	No data	No data	No data	0.20348794753388985	No data	No data	coiled-coil domain containing 92
FTO	0.3134767943161908	0.4926262593659629	No data	No data	No data	0.34779649665931683	No data	0.2533247633647625	FTO alpha-ketoglutarate dependent dioxygenase
C8orf34	0.29916686617512467	0.49210677818998827	No data	No data	No data	No data	No data	No data	chromosome 8 open reading frame 34
ALDH1A2	0.29872254778111995	0.49137590817032434	No data	No data	No data	No data	No data	No data	aldehyde dehydrogenase 1 family member A2
TUBA3C	0.2986698158890786	0.4906812374144008	No data	No data	No data	0.012158615952232422	No data	No data	tubulin alpha 3c
SLC2A12	0.29815682544992594	0.4904453378925615	No data	No data	No data	No data	No data	No data	solute carrier family 2 member 12
KSR2	0.29789087714912915	0.4900078731320302	No data	No data	No data	No data	No data	No data	kinase suppressor of ras 2
ETV1	0.2969762905808451	0.48850344767459797	No data	No data	No data	No data	No data	No data	ETS variant transcription factor 1
MITF	0.29738511690084	0.48826403973112154	No data	No data	No data	0.01823792392834863	No data	No data	melanocyte inducing transcription factor
TBX20	0.29643066512579563	0.48654205633625436	No data	No data	No data	0.021277577916406734	No data	No data	T-box transcription factor 20
IGF2BP1	0.29501765698088017	0.4852816441277801	No data	No data	No data	No data	No data	No data	insulin like growth factor 2 mRNA binding protein 1
KALRN	0.3851212063422775	0.48277864622668504	No data	No data	No data	0.6860047320828851	No data	No data	kalirin RhoGEF kinase
SERPINA1	0.30327588198339894	0.482249272976831	No data	No data	No data	0.33233048414905964	No data	No data	serpin family A member 1
ZPR1	0.30139930791632186	0.4822363611399285	No data	No data	No data	0.2708522839620655	No data	No data	ZPR1 zinc finger
SPC24	0.2912002499759178	0.4790022994721715	No data	No data	No data	No data	No data	No data	SPC24 component of NDC80 kinetochore complex
STAG1	0.29112704706834874	0.47888188624774425	No data	No data	No data	No data	No data	No data	STAG1 cohesin complex component
SLC22A4	0.291572941805745	0.4788554357355761	No data	No data	No data	0.015198269940290528	No data	No data	solute carrier family 22 member 4
BNC2	0.2908186147912496	0.47837453857213563	No data	No data	No data	No data	No data	No data	basonuclin zinc finger protein 2
FIGN	0.29074818793324086	0.478258691738441	No data	No data	No data	No data	No data	No data	fidgetin, microtubule severing factor
KCNAB1	0.29059980395299234	0.4780146113581881	No data	No data	No data	No data	No data	No data	potassium voltage-gated channel subfamily A regulatory beta subunit 1
PDE3A	0.6638461416244461	0.47779393543533444	No data	0.9720551761519476	No data	0.021277577916406734	No data	No data	phosphodiesterase 3A
RAB12	0.28966629475206335	0.476479059606909	No data	No data	No data	No data	No data	No data	RAB12, member RAS oncogene family
SPECC1L-ADORA2A	0.28925718856630717	0.47580611099604175	No data	No data	No data	No data	No data	No data	SPECC1L-ADORA2A readthrough (NMD candidate)
CFDP1	0.2955984403709263	0.475112699455759	No data	No data	No data	0.222485784959253	No data	No data	craniofacial development protein 1
OIT3	0.2887531841050683	0.4749770619279258	No data	No data	No data	No data	No data	No data	oncoprotein induced transcript 3
SORBS2	0.29083433339703435	0.4726250519077787	No data	No data	No data	0.115506851546208	No data	No data	sorbin and SH3 domain containing 2
TOMM40	0.28684332020828446	0.470315653845577	No data	No data	No data	0.030396539880581056	No data	No data	translocase of outer mitochondrial membrane 40
CST3	0.3130454305306359	0.4679385336136172	No data	No data	No data	0.9399485819749505	No data	No data	cystatin C
CDC123	0.2841911579058765	0.46747287523905495	No data	No data	No data	No data	No data	No data	cell division cycle 123
ZNF507	0.2843183978487537	0.4670742444857528	No data	No data	No data	0.012158615952232422	No data	No data	zinc finger protein 507
ITIH4	0.2834828382889957	0.464344633386904	No data	No data	No data	0.03926219734575053	No data	No data	inter-alpha-trypsin inhibitor heavy chain 4
SPECC1L	0.2781704655866841	0.457569293543826	No data	No data	No data	No data	No data	No data	sperm antigen with calponin homology and coiled-coil domains 1 like
LOX	0.2834780380465631	0.4560377516279908	No data	No data	No data	0.2052419118379279	No data	No data	lysyl oxidase
HHAT	0.27686578361364766	0.4554231907667301	No data	No data	No data	No data	No data	No data	hedgehog acyltransferase
PLCL1	0.2770937167689332	0.4544302792048771	No data	No data	No data	0.02735688589252295	No data	No data	phospholipase C like 1 (inactive)
NEGR1	0.2766177895379446	0.4544073285455462	No data	No data	No data	0.012158615952232422	No data	No data	neuronal growth regulator 1
RAB23	0.27399841886440185	0.45070659348211994	No data	No data	No data	No data	No data	No data	RAB23, member RAS oncogene family
GEM	0.272616958681548	0.4484341963798821	No data	No data	No data	No data	No data	No data	GTP binding protein overexpressed in skeletal muscle
LMOD1	0.284547597968651	0.4467520619687621	No data	No data	No data	0.42614260215914607	No data	No data	leiomodin 1
DOK7	0.271272847007757	0.44622323473906433	No data	No data	No data	No data	No data	No data	docking protein 7
LRP1	0.2734250164747245	0.446060922664202	No data	No data	No data	0.07404934854241552	No data	No data	LDL receptor related protein 1
HSP90B1	0.27138964245564773	0.44565544088518944	No data	No data	No data	0.015198269940290528	No data	No data	heat shock protein 90 beta family member 1
ABCG5	0.28724808883704295	0.4428809375919924	No data	No data	No data	0.592407138131678	No data	No data	ATP binding cassette subfamily G member 5
SRFBP1	0.26826835761529644	0.44128107782866544	No data	No data	No data	No data	No data	No data	serum response factor binding protein 1
INSIG1	0.27153227104411554	0.43880174985250237	No data	No data	No data	0.15696435455000046	No data	No data	insulin induced gene 1
APOC1	0.278668931081948	0.437217796042462	No data	No data	No data	0.29922169108214297	No data	0.2794657876620622	apolipoprotein C1
MAP1B	0.2663025190797655	0.4362236303170997	No data	No data	No data	0.03647584785669726	No data	No data	microtubule associated protein 1B
DHX38	0.2647633819828504	0.4355156590569631	No data	No data	No data	No data	No data	No data	DEAH-box helicase 38
MYH11	0.26537489116327645	0.43470619631544044	No data	No data	No data	0.03630697819069404	No data	No data	myosin heavy chain 11
DHX58	0.2653580638689167	0.4337581770142497	No data	No data	No data	0.0547137717850459	No data	No data	DExH-box helicase 58
PROCR	0.2691625024449238	0.4334745164673268	No data	No data	No data	0.18554723421770689	No data	No data	protein C receptor
GCK	0.27417037919112214	0.4317297399368963	No data	No data	No data	0.22845103726133087	No data	0.28366051016558236	glucokinase
PKD2L1	0.2625834090831056	0.4298020113773463	No data	No data	No data	0.04255515583281348	No data	No data	polycystin 2 like 1, transient receptor potential cation channel
FOXC1	0.26434974637980946	0.42935113306030726	No data	No data	No data	0.10968253676575666	No data	No data	forkhead box C1
STK32B	0.26047254962776484	0.4284575656490572	No data	No data	No data	No data	No data	No data	serine/threonine kinase 32B
FOXL1	0.260458891848673	0.42843509963952864	No data	No data	No data	No data	No data	No data	forkhead box L1
ANGPTL4	0.2842005642331417	0.428284722317684	No data	No data	No data	0.7840725123094128	No data	No data	angiopoietin like 4
CETP	0.4906511243927202	0.428273729755588	No data	0.6545629524355938	No data	0.8408407491024144	No data	No data	cholesteryl ester transfer protein
STN1	0.26232086168976565	0.42685525451986644	No data	No data	No data	0.09285288246228353	No data	No data	STN1 subunit of CST complex
TRPA1	0.25886187547624406	0.42228187704264336	No data	No data	No data	0.07052503861292814	No data	No data	transient receptor potential cation channel subfamily A member 1
ANKRD13B	0.25643653883880146	0.4218186343680304	No data	No data	No data	No data	No data	No data	ankyrin repeat domain 13B
ARID4A	0.25528182256919746	0.4199192137857198	No data	No data	No data	No data	No data	No data	AT-rich interaction domain 4A
MERTK	0.2630623033344299	0.41979898439924257	No data	No data	No data	0.258370588984939	No data	No data	MER proto-oncogene, tyrosine kinase
TMEM18	0.2566526755328652	0.41898252613037457	No data	No data	No data	0.06383273374922022	No data	No data	transmembrane protein 18
PLTP	0.2635970248811913	0.41866301849730947	No data	No data	No data	0.29868143385073803	No data	No data	phospholipid transfer protein
LIMCH1	0.2543634690973252	0.4184085920579176	No data	No data	No data	No data	No data	No data	LIM and calponin homology domains 1
CUX2	0.25568659096369517	0.4183052865683053	No data	No data	No data	0.045594809820871586	No data	No data	cut like homeobox 2
PHB1	0.25397657793176504	0.4177721854684173	No data	No data	No data	No data	No data	No data	prohibitin 1
MIA3	0.3240362843294519	0.41770058661225695	No data	No data	No data	0.25156092073016606	No data	No data	MIA SH3 domain ER export factor 3
SSU72L6	0.25318066137061773	0.41646296316174325	No data	No data	No data	No data	No data	No data	SSU72 like 6
ATG16L2	0.253160291013389	0.4152895852253646	No data	No data	No data	0.02279740491043579	No data	No data	autophagy related 16 like 2
