"","X","X0","padj"
"112","FrontotemporalDementia/NeuroticDisorder",0.321,1
"113","FrontotemporalDementia/OCD",0.547,1
"114","FrontotemporalDementia/PartialEpilepsy",0.188,1
"115","FrontotemporalDementia/PD",0.427,1
"116","FrontotemporalDementia/RestlessLeg",0.124,0.75888
"117","FrontotemporalDementia/Schizophrenia",0.982,1
"118","FrontotemporalDementia/TouretteSyndrome",0.501,1
"119","FrontotemporalDementia/UnipolarDepression",0.695,1
"120","MajorDepressiveDisorder/AD",0.745,1
"121","MajorDepressiveDisorder/ALS",0.292,1
"122","MajorDepressiveDisorder/AnorexiaNervosa",0,0
"123","MajorDepressiveDisorder/BipolarDisorder",0,0
"124","MajorDepressiveDisorder/BrainAneurysm",0.348,1
"125","MajorDepressiveDisorder/EssentialTremor",0.31,1
"126","MajorDepressiveDisorder/FrontotemporalDementia",0.058,0.467052631578947
"127","MajorDepressiveDisorder/MigraineDisorder",0.635,1
"128","MajorDepressiveDisorder/MS",0.873,1
"129","MajorDepressiveDisorder/NeuroticDisorder",0.013,0.180818181818182
"130","MajorDepressiveDisorder/OCD",0,0
"131","MajorDepressiveDisorder/PartialEpilepsy",0.3,1
"132","MajorDepressiveDisorder/PD",0.872,1
"133","MajorDepressiveDisorder/RestlessLeg",0.017,0.185785714285714
"134","MajorDepressiveDisorder/Schizophrenia",0.143,0.833
"135","MajorDepressiveDisorder/TouretteSyndrome",0.002,0.03825
"136","MajorDepressiveDisorder/UnipolarDepression",0.001,0.0218571428571429
"137","MigraineDisorder/AD",0.923,1
"138","MigraineDisorder/ALS",0.868,1
"139","MigraineDisorder/AnorexiaNervosa",0.891,1
"140","MigraineDisorder/BipolarDisorder",0.99,1
"141","MigraineDisorder/BrainAneurysm",0.516,1
"142","MigraineDisorder/EssentialTremor",0.468,1
"143","MigraineDisorder/FrontotemporalDementia",0.51,1
"144","MigraineDisorder/MajorDepressiveDisorder",0.635,1
"145","MigraineDisorder/MS",0.969,1
"146","MigraineDisorder/NeuroticDisorder",0.604,1
"147","MigraineDisorder/OCD",0.82,1
"148","MigraineDisorder/PartialEpilepsy",0.59,1
"149","MigraineDisorder/PD",0.969,1
"150","MigraineDisorder/RestlessLeg",0.263,1
"151","MigraineDisorder/Schizophrenia",0.999,1
"152","MigraineDisorder/TouretteSyndrome",0.832,1
"153","MigraineDisorder/UnipolarDepression",0.999,1
"154","MS/AD",0.995,1
"155","MS/ALS",0.972,1
"156","MS/AnorexiaNervosa",0.982,1
"157","MS/BipolarDisorder",1,1
"158","MS/BrainAneurysm",0.784,1
"159","MS/EssentialTremor",0.735,1
"160","MS/FrontotemporalDementia",0.773,1
"161","MS/MajorDepressiveDisorder",0.873,1
"162","MS/MigraineDisorder",0.969,1
"163","MS/NeuroticDisorder",0.843,1
"164","MS/OCD",0.964,1
"165","MS/PartialEpilepsy",0.98,1
"166","MS/PD",0.999,1
"167","MS/RestlessLeg",0.48,1
"168","MS/Schizophrenia",1,1
"169","MS/TouretteSyndrome",0.962,1
"170","MS/UnipolarDepression",1,1
"171","NeuroticDisorder/AD",0.736,1
"172","NeuroticDisorder/ALS",0.63,1
"173","NeuroticDisorder/AnorexiaNervosa",0.277,1
"174","NeuroticDisorder/BipolarDisorder",0.406,1
"175","NeuroticDisorder/BrainAneurysm",0.292,1
"176","NeuroticDisorder/EssentialTremor",0.044,0.42075
"177","NeuroticDisorder/FrontotemporalDementia",0.321,1
"178","NeuroticDisorder/MajorDepressiveDisorder",0.013,0.180818181818182
"179","NeuroticDisorder/MigraineDisorder",0.604,1
"180","NeuroticDisorder/MS",0.843,1
"181","NeuroticDisorder/OCD",0.193,1
"182","NeuroticDisorder/PartialEpilepsy",0.624,1
"183","NeuroticDisorder/PD",0.818,1
"184","NeuroticDisorder/RestlessLeg",0.147,0.833
"185","NeuroticDisorder/Schizophrenia",0.873,1
"186","NeuroticDisorder/TouretteSyndrome",0.235,1
"187","NeuroticDisorder/UnipolarDepression",0.053,0.4505
"188","OCD/AD",0.912,1
"189","OCD/ALS",0.836,1
"190","OCD/AnorexiaNervosa",0,0
"191","OCD/BipolarDisorder",0.017,0.185785714285714
"192","OCD/BrainAneurysm",0.504,1
"193","OCD/EssentialTremor",0.468,1
"194","OCD/FrontotemporalDementia",0.547,1
"195","OCD/MajorDepressiveDisorder",0,0
"196","OCD/MigraineDisorder",0.82,1
"197","OCD/MS",0.964,1
"198","OCD/NeuroticDisorder",0.193,1
"199","OCD/PartialEpilepsy",0.28,1
"200","OCD/PD",0.966,1
"201","OCD/RestlessLeg",0.251,1
"202","OCD/Schizophrenia",0.532,1
"203","OCD/TouretteSyndrome",0,0
"204","OCD/UnipolarDepression",0.099,0.750428571428571
"205","PartialEpilepsy/AD",0.734,1
"206","PartialEpilepsy/ALS",0.884,1
"207","PartialEpilepsy/AnorexiaNervosa",0.376,1
"208","PartialEpilepsy/BipolarDisorder",0.699,1
"209","PartialEpilepsy/BrainAneurysm",0.574,1
"210","PartialEpilepsy/EssentialTremor",0.48,1
"211","PartialEpilepsy/FrontotemporalDementia",0.188,1
"212","PartialEpilepsy/MajorDepressiveDisorder",0.3,1
"213","PartialEpilepsy/MigraineDisorder",0.59,1
"214","PartialEpilepsy/MS",0.98,1
"215","PartialEpilepsy/NeuroticDisorder",0.624,1
"216","PartialEpilepsy/OCD",0.28,1
"217","PartialEpilepsy/PD",0.875,1
"218","PartialEpilepsy/RestlessLeg",0.287,1
"219","PartialEpilepsy/Schizophrenia",1,1
"220","PartialEpilepsy/TouretteSyndrome",0.276,1
"221","PartialEpilepsy/UnipolarDepression",0.955,1
"222","PD/AD",0.844,1
"223","PD/ALS",0.979,1
"224","PD/AnorexiaNervosa",0.981,1
"225","PD/BipolarDisorder",0.999,1
"226","PD/BrainAneurysm",0.773,1
"227","PD/EssentialTremor",0.744,1
"228","PD/FrontotemporalDementia",0.427,1
"229","PD/MajorDepressiveDisorder",0.872,1
"230","PD/MigraineDisorder",0.969,1
"231","PD/MS",0.999,1
"232","PD/NeuroticDisorder",0.818,1
"233","PD/OCD",0.966,1
"234","PD/PartialEpilepsy",0.875,1
"235","PD/RestlessLeg",0.469,1
"236","PD/Schizophrenia",1,1
"237","PD/TouretteSyndrome",0.971,1
"238","PD/UnipolarDepression",1,1
"239","RestlessLeg/AD",0.36,1
"240","RestlessLeg/ALS",0.29,1
"241","RestlessLeg/AnorexiaNervosa",0.043,0.42075
"242","RestlessLeg/BipolarDisorder",0.591,1
"243","RestlessLeg/BrainAneurysm",0.121,0.75888
"244","RestlessLeg/EssentialTremor",0.103,0.750428571428571
"245","RestlessLeg/FrontotemporalDementia",0.124,0.75888
"246","RestlessLeg/MajorDepressiveDisorder",0.017,0.185785714285714
"247","RestlessLeg/MigraineDisorder",0.263,1
"248","RestlessLeg/MS",0.48,1
"249","RestlessLeg/NeuroticDisorder",0.147,0.833
"250","RestlessLeg/OCD",0.251,1
"251","RestlessLeg/PartialEpilepsy",0.287,1
"252","RestlessLeg/PD",0.469,1
"253","RestlessLeg/Schizophrenia",0.558,1
"254","RestlessLeg/TouretteSyndrome",0.265,1
"255","RestlessLeg/UnipolarDepression",0.297,1
"256","Schizophrenia/AD",1,1
"257","Schizophrenia/ALS",1,1
"258","Schizophrenia/AnorexiaNervosa",0.53,1
"259","Schizophrenia/BipolarDisorder",0.988,1
"260","Schizophrenia/BrainAneurysm",0.987,1
"261","Schizophrenia/EssentialTremor",0.871,1
"262","Schizophrenia/FrontotemporalDementia",0.982,1
"263","Schizophrenia/MajorDepressiveDisorder",0.143,0.833
"264","Schizophrenia/MigraineDisorder",0.999,1
"265","Schizophrenia/MS",1,1
"266","Schizophrenia/NeuroticDisorder",0.873,1
"267","Schizophrenia/OCD",0.532,1
"268","Schizophrenia/PartialEpilepsy",1,1
"269","Schizophrenia/PD",1,1
"270","Schizophrenia/RestlessLeg",0.558,1
"271","Schizophrenia/TouretteSyndrome",0.586,1
"272","Schizophrenia/UnipolarDepression",1,1
"273","TouretteSyndrome/AD",0.912,1
"274","TouretteSyndrome/ALS",0.844,1
"275","TouretteSyndrome/AnorexiaNervosa",0,0
"276","TouretteSyndrome/BipolarDisorder",0.006,0.0918
"277","TouretteSyndrome/BrainAneurysm",0.534,1
"278","TouretteSyndrome/EssentialTremor",0.466,1
"279","TouretteSyndrome/FrontotemporalDementia",0.501,1
"280","TouretteSyndrome/MajorDepressiveDisorder",0.002,0.03825
"281","TouretteSyndrome/MigraineDisorder",0.832,1
"282","TouretteSyndrome/MS",0.962,1
"283","TouretteSyndrome/NeuroticDisorder",0.235,1
"284","TouretteSyndrome/OCD",0,0
"285","TouretteSyndrome/PartialEpilepsy",0.276,1
"286","TouretteSyndrome/PD",0.971,1
"287","TouretteSyndrome/RestlessLeg",0.265,1
"288","TouretteSyndrome/Schizophrenia",0.586,1
"289","TouretteSyndrome/UnipolarDepression",0.121,0.75888
"290","UnipolarDepression/AD",0.999,1
"291","UnipolarDepression/ALS",0.991,1
"292","UnipolarDepression/AnorexiaNervosa",0.112,0.75888
"293","UnipolarDepression/BipolarDisorder",0.734,1
"294","UnipolarDepression/BrainAneurysm",0.928,1
"295","UnipolarDepression/EssentialTremor",0.638,1
"296","UnipolarDepression/FrontotemporalDementia",0.695,1
"297","UnipolarDepression/MajorDepressiveDisorder",0.001,0.0218571428571429
"298","UnipolarDepression/MigraineDisorder",0.999,1
"299","UnipolarDepression/MS",1,1
"300","UnipolarDepression/NeuroticDisorder",0.053,0.4505
"301","UnipolarDepression/OCD",0.099,0.750428571428571
"302","UnipolarDepression/PartialEpilepsy",0.955,1
"303","UnipolarDepression/PD",1,1
"304","UnipolarDepression/RestlessLeg",0.297,1
"305","UnipolarDepression/Schizophrenia",1,1
"306","UnipolarDepression/TouretteSyndrome",0.121,0.75888
