,genesymbol_intercell_source,genesymbol_intercell_target,source_disease,target_disease
603,FYN,FCGR2A,"PD,Schizophrenia",PD
606,FYN,TXK,"PD,Schizophrenia",MS
618,FYN,PLCG2,"PD,Schizophrenia",AD
806,FYN,PTK2B,"PD,Schizophrenia",AD
811,IL7R,PTK2B,MS,AD
812,FGFR3,PTK2B,PartialEpilepsy,AD
814,CALCA,PTK2B,MigraineDisorder,AD
815,CALCA,PTK2B,MigraineDisorder,AD
1014,FYN,SCN9A,"PD,Schizophrenia",PartialEpilepsy
1019,FYN,CD226,"PD,Schizophrenia",MS
1020,NECTIN2,CD226,AD,MS
1025,FYN,APP,"PD,Schizophrenia",AD
1029,TGFB1,APP,MigraineDisorder,AD
1033,APOE,APP,"AD,PD",AD
1034,CNTN4,APP,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression",AD
1100,FYN,TNK2,"PD,Schizophrenia",PD
1101,FYN,AATK,"PD,Schizophrenia","NeuroticDisorder,UnipolarDepression"
1211,FYN,LCK,"PD,Schizophrenia",MS
1214,IL7R,LCK,MS,MS
1215,TYK2,LCK,MS,MS
1216,CD80,LCK,MS,MS
1217,IL12A,LCK,MS,MS
1222,IL12B,LCK,"MS,UnipolarDepression",MS
1225,FYN,LPP,"PD,Schizophrenia","MS,Schizophrenia"
1227,TGFB1,LPP,MigraineDisorder,"MS,Schizophrenia"
1228,FYN,MST1R,"PD,Schizophrenia",Schizophrenia
1231,TGFB1,MST1R,MigraineDisorder,Schizophrenia
1277,FYN,DCC,"PD,Schizophrenia","AnorexiaNervosa,BipolarDisorder,MajorDepressiveDisorder,NeuroticDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
1299,FYN,CD28,"PD,Schizophrenia",MS
1300,TGFB1,CD28,MigraineDisorder,MS
1302,CD80,CD28,MS,MS
1303,IL2,CD28,"BipolarDisorder,UnipolarDepression",MS
1304,IL12A,CD28,MS,MS
1336,FYN,CSF2RB,"PD,Schizophrenia",MS
1346,FYN,IL7R,"PD,Schizophrenia",MS
1350,IL7,IL7R,MS,MS
1465,FYN,TUBA4A,"PD,Schizophrenia",ALS
1481,FYN,CNTN1,"PD,Schizophrenia",PD
1528,FYN,NOX4,"PD,Schizophrenia","AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
1529,TGFB1,NOX4,MigraineDisorder,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
1906,FYN,EPHA1,"PD,Schizophrenia",AD
1909,EFNA5,EPHA1,"BipolarDisorder,Schizophrenia,UnipolarDepression",AD
1917,FYN,ITGB5,"PD,Schizophrenia",MigraineDisorder
1919,TGFB1,ITGB5,MigraineDisorder,MigraineDisorder
1921,RELN,ITGB5,PartialEpilepsy,MigraineDisorder
1985,FYN,PRKD1,"PD,Schizophrenia","BipolarDisorder,Schizophrenia"
2038,KL,FGFR3,BrainAneurysm,PartialEpilepsy
2049,FGF6,FGFR3,MigraineDisorder,PartialEpilepsy
2059,FGF20,FGFR3,PD,PartialEpilepsy
2060,FGF23,FGFR3,MigraineDisorder,PartialEpilepsy
2488,TGFB1,EP300,MigraineDisorder,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
2538,TNFRSF1A,MAPK3,MS,MS
2544,NGF,MAPK3,MigraineDisorder,MS
2549,TGFB1,MAPK3,MigraineDisorder,MS
2555,IL2,MAPK3,"BipolarDisorder,UnipolarDepression",MS
2576,FGFR3,MAPK3,PartialEpilepsy,MS
2586,GAL,MAPK3,PartialEpilepsy,MS
2603,SNCA,MAPK3,PD,MS
2605,FGF20,MAPK3,PD,MS
2606,FGF23,MAPK3,MigraineDisorder,MS
2612,NRP1,MAPK3,MigraineDisorder,MS
2652,TNFRSF1A,MAP4K4,MS,PD
2750,TGFB1,RPS6KB1,MigraineDisorder,MS
2753,IL2,RPS6KB1,"BipolarDisorder,UnipolarDepression",MS
2807,NGF,MAPK1,MigraineDisorder,MS
2811,TGFB1,MAPK1,MigraineDisorder,MS
2816,IL2,MAPK1,"BipolarDisorder,UnipolarDepression",MS
2836,FGFR3,MAPK1,PartialEpilepsy,MS
2843,CRH,MAPK1,PartialEpilepsy,MS
2848,GAL,MAPK1,PartialEpilepsy,MS
2851,TNFSF4,MAPK1,"NarcolepsyCataplexy,Narcolepsy",MS
2863,SNCA,MAPK1,PD,MS
2866,CD58,MAPK1,MS,MS
2867,FGF20,MAPK1,PD,MS
2868,FGF23,MAPK1,MigraineDisorder,MS
3588,TGFB1,CXCR4,MigraineDisorder,MS
3898,KMT2E,NCR2,Schizophrenia,AD
5075,RELN,ITGA2B,PartialEpilepsy,"AD,PD"
5332,TNFRSF1A,SMPD3,MS,Schizophrenia
5356,TNFRSF1A,MAP3K14,MS,MS
5482,TYK2,IFNAR1,MS,"NarcolepsyCataplexy,Narcolepsy"
5486,IFNK,IFNAR1,ALS,"NarcolepsyCataplexy,Narcolepsy"
5525,TYK2,STAT6,MS,"MigraineDisorder,MigraineWithAura"
5526,IL2,STAT6,"BipolarDisorder,UnipolarDepression","MigraineDisorder,MigraineWithAura"
5528,IL12A,STAT6,MS,"MigraineDisorder,MigraineWithAura"
5531,IL12B,STAT6,"MS,UnipolarDepression","MigraineDisorder,MigraineWithAura"
5654,TGFBR3,TGFB1,MS,MigraineDisorder
5655,IL2,TGFB1,"BipolarDisorder,UnipolarDepression",MigraineDisorder
5661,IL7,TGFB1,MS,MigraineDisorder
5662,PTN,TGFB1,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression",MigraineDisorder
5677,BMP3,TGFB1,Schizophrenia,MigraineDisorder
5678,DPP4,TGFB1,Schizophrenia,MigraineDisorder
5685,IL21,TLR4,BipolarDisorder,"NeuroticDisorder,UnipolarDepression"
5689,HP,TLR4,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression","NeuroticDisorder,UnipolarDepression"
5690,APOB,TLR4,AD,"NeuroticDisorder,UnipolarDepression"
6008,IL2,DPP4,"BipolarDisorder,UnipolarDepression",Schizophrenia
6154,FSTL5,IL6R,"BipolarDisorder,UnipolarDepression",AD
6248,HBEGF,ERBB4,AD,"ALS,FrontotemporalDementia,MajorDepressiveDisorder,UnipolarDepression"
6250,LRIG1,ERBB4,AD,"ALS,FrontotemporalDementia,MajorDepressiveDisorder,UnipolarDepression"
6268,SEMA3C,NRP1,AD,MigraineDisorder
6269,SEMA3A,NRP1,UnipolarDepression,MigraineDisorder
6486,APOB,LRP1,AD,"MigraineDisorder,MigraineWithAura"
6487,APOE,LRP1,"AD,PD","MigraineDisorder,MigraineWithAura"
6501,TNFSF14,LTBR,MS,MS
6510,TNFSF14,TNFRSF1A,MS,MS
6516,IL2,TNFRSF1A,"BipolarDisorder,UnipolarDepression",MS
6519,GRN,TNFRSF1A,"AD,FrontotemporalDementia",MS
6606,SHANK2,ADGRL1,"BipolarDisorder,UnipolarDepression",AD
6629,NLGN1,GRIN1,UnipolarDepression,PartialEpilepsy
6677,NGF,MAP2K5,MigraineDisorder,RestlessLeg
6735,SNCA,MMP3,PD,AD
6761,IL2,IL2RA,"BipolarDisorder,UnipolarDepression",MS
6826,LRFN5,PTPRD,"AnorexiaNervosa,BipolarDisorder,MajorDepressiveDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression",Schizophrenia
6828,SLITRK1,PTPRD,TouretteSyndrome,Schizophrenia
6843,IL7R,FYN,MS,"PD,Schizophrenia"
6844,TYK2,FYN,MS,"PD,Schizophrenia"
6846,EFNA5,FYN,"BipolarDisorder,Schizophrenia,UnipolarDepression","PD,Schizophrenia"
6974,IL34,CSF1R,AD,"AD,FrontotemporalDementia"
7035,VEGFC,ITGA9,BrainAneurysm,ALS
7037,RELN,ITGA9,PartialEpilepsy,ALS
7068,FGF6,CDH11,MigraineDisorder,Schizophrenia
7069,CALCA,CDH11,MigraineDisorder,Schizophrenia
7070,CALCA,CDH11,MigraineDisorder,Schizophrenia
7079,TYK2,MPO,MS,AD
7083,IL12B,MPO,"MS,UnipolarDepression",AD
7102,FSTL5,CD86,"BipolarDisorder,UnipolarDepression",MS
7126,TGFB1,TGFBR2,MigraineDisorder,"MigraineDisorder,Schizophrenia"
7134,TGFB1,TGFBR3,MigraineDisorder,MS
7194,TGFB1,SLC2A1,MigraineDisorder,PartialEpilepsy
7205,TGFB1,ADAMTS4,MigraineDisorder,AD
7266,CD80,STK39,MS,PD
7321,NECTIN2,PVR,AD,MS
7487,IL2,ALPK3,"BipolarDisorder,UnipolarDepression","BipolarDisorder,Schizophrenia"
7567,BMP3,BMPR1B,Schizophrenia,Schizophrenia
7592,BMP3,ACVR2A,Schizophrenia,"NeuroticDisorder,UnipolarDepression"
7785,HBEGF,MOG,AD,"NarcolepsyCataplexy,Narcolepsy,Schizophrenia"
7798,IL6R,ILDR1,AD,MS
7811,BTN1A1,NEGR1,UnipolarDepression,"AnorexiaNervosa,BipolarDisorder,MajorDepressiveDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
7839,BMP3,ACVR1B,Schizophrenia,MajorDepressiveDisorder
7969,EFNA5,EPHA5,"BipolarDisorder,Schizophrenia,UnipolarDepression",Schizophrenia
8197,FGFR3,CILK1,PartialEpilepsy,PartialEpilepsy
8198,FGFR3,DYRK1A,PartialEpilepsy,PD
8202,FGFR3,CHRM2,PartialEpilepsy,"MajorDepressiveDisorder,UnipolarDepression"
8203,FGFR3,CHRNA7,PartialEpilepsy,PartialEpilepsy
8270,PTN,CDH10,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression",AnorexiaNervosa
8498,CALCA,GPR20,MigraineDisorder,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
8499,CALCA,GPR20,MigraineDisorder,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
8500,CALCB,GPR20,MigraineDisorder,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
8502,CRH,GPR20,PartialEpilepsy,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
8505,FSHB,GPR20,MigraineDisorder,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
8524,CALCA,DCLK3,MigraineDisorder,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
8525,CALCA,DCLK3,MigraineDisorder,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
8540,RELN,HDAC4,PartialEpilepsy,BrainAneurysm
8606,CRH,CRHR1,PartialEpilepsy,"PD,Schizophrenia"
8689,FLRT3,UNC5A,BipolarDisorder,OCD
8700,VEGFC,LYVE1,BrainAneurysm,MigraineDisorder
8772,APOE,SCARB1,"AD,PD",AD
8787,GAL,GPR151,PartialEpilepsy,EssentialTremor
8983,NLGN1,NRXN1,UnipolarDepression,"Schizophrenia,UnipolarDepression"
9025,RELN,ITGA8,PartialEpilepsy,PD
9141,SHANK2,ADGRL2,"BipolarDisorder,UnipolarDepression",Schizophrenia
9236,CNTN4,PTPRG,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression",AD
9342,SEMA6D,PLXNC1,"AnorexiaNervosa,MajorDepressiveDisorder,RestlessLeg,Schizophrenia,UnipolarDepression",MS
9366,SEMA3A,PLXNA4,UnipolarDepression,BipolarDisorder
9368,SEMA6D,PLXNA4,"AnorexiaNervosa,MajorDepressiveDisorder,RestlessLeg,Schizophrenia,UnipolarDepression",BipolarDisorder
9375,SLIT3,ROBO2,BipolarDisorder,"Schizophrenia,UnipolarDepression"
9378,SLIT3,ROBO1,BipolarDisorder,UnipolarDepression
9409,APOB,TREM2,AD,FrontotemporalDementia
9410,APOE,TREM2,"AD,PD",FrontotemporalDementia
9412,SEMA6D,TREM2,"AnorexiaNervosa,MajorDepressiveDisorder,RestlessLeg,Schizophrenia,UnipolarDepression",FrontotemporalDementia
9413,APOE,CHRNA4,"AD,PD","FrontotemporalDementia,PartialEpilepsy"
9426,SNCA,IDE,PD,ALS
9428,SNCA,SLC10A2,PD,AD
9659,LGI1,RTN4R,PartialEpilepsy,Schizophrenia
9686,PILRA,BTN3A2,AD,"BipolarDisorder,MajorDepressiveDisorder,Schizophrenia"
