,genesymbol_intercell_source,genesymbol_intercell_target,source_disease,target_disease
618,FYN,PLCG2,"PD,Schizophrenia",AD
650,FYN,PDGFRB,"PD,Schizophrenia",PD
658,HGF,PDGFRB,AD,PD
672,PDGFD,PDGFRB,MigraineDisorder,PD
673,FGF6,PDGFRB,MigraineDisorder,PD
679,VEGFC,PDGFRB,BrainAneurysm,PD
688,FGF20,PDGFRB,PD,PD
689,FGF23,PDGFRB,MigraineDisorder,PD
692,NRP1,PDGFRB,MigraineDisorder,PD
806,FYN,PTK2B,"PD,Schizophrenia",AD
811,IL7R,PTK2B,MS,AD
812,FGFR3,PTK2B,PartialEpilepsy,AD
814,CALCA,PTK2B,MigraineDisorder,AD
815,CALCA,PTK2B,MigraineDisorder,AD
1003,FYN,FLOT1,"PD,Schizophrenia",UnipolarDepression
1014,FYN,SCN9A,"PD,Schizophrenia",PartialEpilepsy
1019,FYN,CD226,"PD,Schizophrenia",MS
1020,NECTIN2,CD226,"AD,PD",MS
1025,FYN,APP,"PD,Schizophrenia",AD
1029,TGFB1,APP,MigraineDisorder,AD
1030,IAPP,APP,ProgressiveSupranuclearPalsy,AD
1033,APOE,APP,"AD,LBD,PD",AD
1034,CNTN4,APP,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression",AD
1035,SPON1,APP,AD,AD
1040,FYN,ERBB2,"PD,Schizophrenia",BipolarDisorder
1046,NGF,ERBB2,MigraineDisorder,BipolarDisorder
1049,HGF,ERBB2,AD,BipolarDisorder
1050,TGFB1,ERBB2,MigraineDisorder,BipolarDisorder
1057,HBEGF,ERBB2,AD,BipolarDisorder
1059,LRIG1,ERBB2,AD,BipolarDisorder
1067,PDGFD,ERBB2,MigraineDisorder,BipolarDisorder
1072,VEGFC,ERBB2,BrainAneurysm,BipolarDisorder
1080,ETV5,ERBB2,BipolarDisorder,BipolarDisorder
1087,FYN,PTPRJ,"PD,Schizophrenia",AD
1100,FYN,TNK2,"PD,Schizophrenia",PD
1101,FYN,AATK,"PD,Schizophrenia","NeuroticDisorder,UnipolarDepression"
1211,FYN,LCK,"PD,Schizophrenia",MS
1214,IL7R,LCK,MS,MS
1215,TYK2,LCK,MS,MS
1216,CD80,LCK,MS,MS
1217,IL12A,LCK,MS,MS
1219,PDGFD,LCK,MigraineDisorder,MS
1222,IL12B,LCK,"MS,UnipolarDepression",MS
1224,CD8B,LCK,ProgressiveSupranuclearPalsy,MS
1225,FYN,LPP,"PD,Schizophrenia","MS,Schizophrenia"
1227,TGFB1,LPP,MigraineDisorder,"MS,Schizophrenia"
1228,FYN,MST1R,"PD,Schizophrenia",Schizophrenia
1230,HGF,MST1R,AD,Schizophrenia
1231,TGFB1,MST1R,MigraineDisorder,Schizophrenia
1277,FYN,DCC,"PD,Schizophrenia","AnorexiaNervosa,BipolarDisorder,MajorDepressiveDisorder,NeuroticDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
1299,FYN,CD28,"PD,Schizophrenia",MS
1300,TGFB1,CD28,MigraineDisorder,MS
1302,CD80,CD28,MS,MS
1303,IL2,CD28,"BipolarDisorder,UnipolarDepression",MS
1304,IL12A,CD28,MS,MS
1310,CD8B,CD28,ProgressiveSupranuclearPalsy,MS
1336,FYN,CSF2RB,"PD,Schizophrenia",MS
1340,CSF3,CSF2RB,BipolarDisorder,MS
1346,FYN,IL7R,"PD,Schizophrenia",MS
1350,IL7,IL7R,MS,MS
1465,FYN,TUBA4A,"PD,Schizophrenia",ALS
1481,FYN,CNTN1,"PD,Schizophrenia",PD
1495,FYN,CD19,"PD,Schizophrenia",PD
1528,FYN,NOX4,"PD,Schizophrenia","AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
1529,TGFB1,NOX4,MigraineDisorder,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
1906,FYN,EPHA1,"PD,Schizophrenia",AD
1909,EFNA5,EPHA1,"BipolarDisorder,Schizophrenia,UnipolarDepression",AD
1917,FYN,ITGB5,"PD,Schizophrenia",MigraineDisorder
1919,TGFB1,ITGB5,MigraineDisorder,MigraineDisorder
1921,RELN,ITGB5,PartialEpilepsy,MigraineDisorder
1942,LAMB3,ITGB5,ALS,MigraineDisorder
1947,LTBP3,ITGB5,UnipolarDepression,MigraineDisorder
1951,FYN,ITGB7,"PD,Schizophrenia",Schizophrenia
1953,RELN,ITGB7,PartialEpilepsy,Schizophrenia
1973,LAMB3,ITGB7,ALS,Schizophrenia
1985,FYN,PRKD1,"PD,Schizophrenia","BipolarDisorder,Schizophrenia"
2038,KL,FGFR3,BrainAneurysm,PartialEpilepsy
2040,BMP2,FGFR3,UnipolarDepression,PartialEpilepsy
2049,FGF6,FGFR3,MigraineDisorder,PartialEpilepsy
2059,FGF20,FGFR3,PD,PartialEpilepsy
2060,FGF23,FGFR3,MigraineDisorder,PartialEpilepsy
2089,KL,FGFR1,BrainAneurysm,"BipolarDisorder,Schizophrenia"
2094,HGF,FGFR1,AD,"BipolarDisorder,Schizophrenia"
2107,PDGFD,FGFR1,MigraineDisorder,"BipolarDisorder,Schizophrenia"
2108,FGF6,FGFR1,MigraineDisorder,"BipolarDisorder,Schizophrenia"
2119,FGF20,FGFR1,PD,"BipolarDisorder,Schizophrenia"
2120,FGF23,FGFR1,MigraineDisorder,"BipolarDisorder,Schizophrenia"
2151,JAG1,NOTCH4,MigraineDisorder,"MigraineDisorder,Schizophrenia"
2210,JAG1,NOTCH3,MigraineDisorder,"MigraineDisorder,MigraineWithAura"
2413,HGF,NOS3,AD,AD
2420,FGFR3,NOS3,PartialEpilepsy,AD
2427,VEGFC,NOS3,BrainAneurysm,AD
2488,TGFB1,EP300,MigraineDisorder,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
2506,CSF3,BIRC3,BipolarDisorder,MigraineDisorder
2538,TNFRSF1A,MAPK3,MS,MS
2544,NGF,MAPK3,MigraineDisorder,MS
2546,CSF3,MAPK3,BipolarDisorder,MS
2548,HGF,MAPK3,AD,MS
2549,TGFB1,MAPK3,MigraineDisorder,MS
2555,IL2,MAPK3,"BipolarDisorder,UnipolarDepression",MS
2576,FGFR3,MAPK3,PartialEpilepsy,MS
2586,GAL,MAPK3,PartialEpilepsy,MS
2603,SNCA,MAPK3,"LBD,PD",MS
2605,FGF20,MAPK3,PD,MS
2606,FGF23,MAPK3,MigraineDisorder,MS
2612,NRP1,MAPK3,MigraineDisorder,MS
2652,TNFRSF1A,MAP4K4,MS,PD
2750,TGFB1,RPS6KB1,MigraineDisorder,MS
2753,IL2,RPS6KB1,"BipolarDisorder,UnipolarDepression",MS
2807,NGF,MAPK1,MigraineDisorder,MS
2810,HGF,MAPK1,AD,MS
2811,TGFB1,MAPK1,MigraineDisorder,MS
2816,IL2,MAPK1,"BipolarDisorder,UnipolarDepression",MS
2818,BMP2,MAPK1,UnipolarDepression,MS
2836,FGFR3,MAPK1,PartialEpilepsy,MS
2843,CRH,MAPK1,PartialEpilepsy,MS
2848,GAL,MAPK1,PartialEpilepsy,MS
2851,TNFSF4,MAPK1,"NarcolepsyCataplexy,Narcolepsy",MS
2863,SNCA,MAPK1,"LBD,PD",MS
2866,CD58,MAPK1,MS,MS
2867,FGF20,MAPK1,PD,MS
2868,FGF23,MAPK1,MigraineDisorder,MS
3588,TGFB1,CXCR4,MigraineDisorder,MS
3898,KMT2E,NCR2,"AnorexiaNervosa,Schizophrenia",AD
4554,JAG1,CD46,MigraineDisorder,Schizophrenia
5075,RELN,ITGA2B,PartialEpilepsy,"AD,PD"
5096,LAMB3,ITGA2B,ALS,"AD,PD"
5332,TNFRSF1A,SMPD3,MS,Schizophrenia
5356,TNFRSF1A,MAP3K14,MS,MS
5364,TNFRSF25,MAP3K14,MS,MS
5482,TYK2,IFNAR1,MS,"NarcolepsyCataplexy,Narcolepsy"
5486,IFNK,IFNAR1,ALS,"NarcolepsyCataplexy,Narcolepsy"
5524,HGF,STAT6,AD,"MigraineDisorder,MigraineWithAura,Schizophrenia"
5525,TYK2,STAT6,MS,"MigraineDisorder,MigraineWithAura,Schizophrenia"
5526,IL2,STAT6,"BipolarDisorder,UnipolarDepression","MigraineDisorder,MigraineWithAura,Schizophrenia"
5528,IL12A,STAT6,MS,"MigraineDisorder,MigraineWithAura,Schizophrenia"
5531,IL12B,STAT6,"MS,UnipolarDepression","MigraineDisorder,MigraineWithAura,Schizophrenia"
5652,HGF,TGFB1,AD,MigraineDisorder
5654,TGFBR3,TGFB1,MS,MigraineDisorder
5655,IL2,TGFB1,"BipolarDisorder,UnipolarDepression",MigraineDisorder
5661,IL7,TGFB1,MS,MigraineDisorder
5662,PTN,TGFB1,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression",MigraineDisorder
5677,BMP3,TGFB1,Schizophrenia,MigraineDisorder
5678,DPP4,TGFB1,Schizophrenia,MigraineDisorder
5685,IL21,TLR4,BipolarDisorder,"NeuroticDisorder,UnipolarDepression"
5689,HP,TLR4,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression","NeuroticDisorder,UnipolarDepression"
5690,APOB,TLR4,"AD,BipolarDisorder","NeuroticDisorder,UnipolarDepression"
6008,IL2,DPP4,"BipolarDisorder,UnipolarDepression",Schizophrenia
6022,PAM,DPP4,PD,Schizophrenia
6154,FSTL5,IL6R,"BipolarDisorder,UnipolarDepression",AD
6248,HBEGF,ERBB4,AD,"ALS,FrontotemporalDementia,MajorDepressiveDisorder,UnipolarDepression"
6250,LRIG1,ERBB4,AD,"ALS,FrontotemporalDementia,MajorDepressiveDisorder,UnipolarDepression"
6259,HGF,NRP1,AD,MigraineDisorder
6268,SEMA3C,NRP1,AD,MigraineDisorder
6269,SEMA3A,NRP1,UnipolarDepression,MigraineDisorder
6270,SEMA3B,NRP1,NeuroticDisorder,MigraineDisorder
6274,SEMA3E,NRP1,UnipolarDepression,MigraineDisorder
6358,HGF,MAP2K2,AD,MigraineDisorder
6359,IL2,MAP2K2,"BipolarDisorder,UnipolarDepression",MigraineDisorder
6431,SST,ADCY1,MS,"BipolarDisorder,Schizophrenia"
6438,HGF,PLAU,AD,MS
6439,TGFB1,PLAU,MigraineDisorder,MS
6445,FGFR3,PLAU,PartialEpilepsy,MS
6476,DKK1,LRP1,Schizophrenia,"MigraineDisorder,MigraineWithAura,Schizophrenia"
6480,MDK,LRP1,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression","MigraineDisorder,MigraineWithAura,Schizophrenia"
6486,APOB,LRP1,"AD,BipolarDisorder","MigraineDisorder,MigraineWithAura,Schizophrenia"
6487,APOE,LRP1,"AD,LBD,PD","MigraineDisorder,MigraineWithAura,Schizophrenia"
6501,TNFSF14,LTBR,MS,MS
6510,TNFSF14,TNFRSF1A,MS,MS
6516,IL2,TNFRSF1A,"BipolarDisorder,UnipolarDepression",MS
6519,GRN,TNFRSF1A,"AD,FrontotemporalDementia",MS
6539,IL2,CD53,"BipolarDisorder,UnipolarDepression",Schizophrenia
6553,ZPBP2,CD80,MS,MS
6554,CD8B,CD80,ProgressiveSupranuclearPalsy,MS
6606,SHANK2,ADGRL1,"BipolarDisorder,UnipolarDepression",AD
6629,NLGN1,GRIN1,UnipolarDepression,PartialEpilepsy
6677,NGF,MAP2K5,MigraineDisorder,"BipolarDisorder,RestlessLeg"
6735,SNCA,MMP3,"LBD,PD",AD
6761,IL2,IL2RA,"BipolarDisorder,UnipolarDepression",MS
6768,CD8B,IL2RA,ProgressiveSupranuclearPalsy,MS
6783,LEPR,PRKAG1,Schizophrenia,BipolarDisorder
6826,LRFN5,PTPRD,"AnorexiaNervosa,BipolarDisorder,MajorDepressiveDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression",Schizophrenia
6828,SLITRK1,PTPRD,TouretteSyndrome,Schizophrenia
6843,IL7R,FYN,MS,"PD,Schizophrenia"
6844,TYK2,FYN,MS,"PD,Schizophrenia"
6846,EFNA5,FYN,"BipolarDisorder,Schizophrenia,UnipolarDepression","PD,Schizophrenia"
6850,PDGFD,FYN,MigraineDisorder,"PD,Schizophrenia"
6938,CSF3,CSF3R,BipolarDisorder,"AnorexiaNervosa,BipolarDisorder,MajorDepressiveDisorder,NeuroticDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
6972,CSF3,CSF1R,BipolarDisorder,"AD,FrontotemporalDementia,PD"
6974,IL34,CSF1R,AD,"AD,FrontotemporalDementia,PD"
7021,CSF3,ACE,BipolarDisorder,"AD,IntracranialHemorrhage"
7035,VEGFC,ITGA9,BrainAneurysm,ALS
7037,RELN,ITGA9,PartialEpilepsy,ALS
7058,LAMB3,ITGA9,ALS,ALS
7067,BMP2,CDH11,UnipolarDepression,Schizophrenia
7068,FGF6,CDH11,MigraineDisorder,Schizophrenia
7069,CALCA,CDH11,MigraineDisorder,Schizophrenia
7070,CALCA,CDH11,MigraineDisorder,Schizophrenia
7079,TYK2,MPO,MS,AD
7083,IL12B,MPO,"MS,UnipolarDepression",AD
7102,FSTL5,CD86,"BipolarDisorder,UnipolarDepression",MS
7103,CD8B,CD86,ProgressiveSupranuclearPalsy,MS
7126,TGFB1,TGFBR2,MigraineDisorder,"MigraineDisorder,Schizophrenia"
7129,BMP8A,TGFBR2,MigraineDisorder,"MigraineDisorder,Schizophrenia"
7134,TGFB1,TGFBR3,MigraineDisorder,MS
7194,TGFB1,SLC2A1,MigraineDisorder,"MigraineDisorder,PartialEpilepsy"
7205,TGFB1,ADAMTS4,MigraineDisorder,AD
7266,CD80,STK39,MS,PD
7321,NECTIN2,PVR,"AD,PD",MS
7427,CD80,CD8B,MS,ProgressiveSupranuclearPalsy
7487,IL2,ALPK3,"BipolarDisorder,UnipolarDepression","AnorexiaNervosa,BipolarDisorder,Schizophrenia"
7545,BMP2,BMPR1B,UnipolarDepression,Schizophrenia
7558,BMP8A,BMPR1B,MigraineDisorder,Schizophrenia
7567,BMP3,BMPR1B,Schizophrenia,Schizophrenia
7569,BMP2,ACVR2A,UnipolarDepression,"NeuroticDisorder,UnipolarDepression"
7584,BMP8A,ACVR2A,MigraineDisorder,"NeuroticDisorder,UnipolarDepression"
7592,BMP3,ACVR2A,Schizophrenia,"NeuroticDisorder,UnipolarDepression"
7785,HBEGF,MOG,AD,"NarcolepsyCataplexy,Narcolepsy,Schizophrenia"
7798,IL6R,ILDR1,AD,MS
7811,BTN1A1,NEGR1,"BipolarDisorder,UnipolarDepression","AnorexiaNervosa,BipolarDisorder,MajorDepressiveDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
7839,BMP3,ACVR1B,Schizophrenia,MajorDepressiveDisorder
7927,PDGFD,BLK,MigraineDisorder,UnipolarDepression
7969,EFNA5,EPHA5,"BipolarDisorder,Schizophrenia,UnipolarDepression",Schizophrenia
8026,PMCH,MERTK,RestlessLeg,MS
8197,FGFR3,CILK1,PartialEpilepsy,PartialEpilepsy
8198,FGFR3,DYRK1A,PartialEpilepsy,PD
8199,FGFR3,CHRM4,PartialEpilepsy,Schizophrenia
8202,FGFR3,CHRM2,PartialEpilepsy,"MajorDepressiveDisorder,UnipolarDepression"
8203,FGFR3,CHRNA7,PartialEpilepsy,PartialEpilepsy
8270,PTN,CDH10,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression",AnorexiaNervosa
8279,DDR1,RPS6KA2,Schizophrenia,BipolarDisorder
8498,CALCA,GPR20,MigraineDisorder,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
8499,CALCA,GPR20,MigraineDisorder,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
8500,CALCB,GPR20,MigraineDisorder,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
8501,IAPP,GPR20,ProgressiveSupranuclearPalsy,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
8502,CRH,GPR20,PartialEpilepsy,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
8505,FSHB,GPR20,"MigraineDisorder,Schizophrenia","AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
8524,CALCA,DCLK3,MigraineDisorder,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
8525,CALCA,DCLK3,MigraineDisorder,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
8540,RELN,HDAC4,PartialEpilepsy,BrainAneurysm
8606,CRH,CRHR1,PartialEpilepsy,"PD,Schizophrenia,UnipolarDepression"
8689,FLRT3,UNC5A,BipolarDisorder,OCD
8700,VEGFC,LYVE1,BrainAneurysm,"MigraineDisorder,MigraineWithAura"
8772,APOE,SCARB1,"AD,LBD,PD",AD
8787,GAL,GPR151,PartialEpilepsy,EssentialTremor
8983,NLGN1,NRXN1,UnipolarDepression,"Schizophrenia,UnipolarDepression"
9025,RELN,ITGA8,PartialEpilepsy,PD
9045,LAMB3,ITGA8,ALS,PD
9141,SHANK2,ADGRL2,"BipolarDisorder,UnipolarDepression",Schizophrenia
9236,CNTN4,PTPRG,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression",AD
9265,WNT9B,CHRNA1,"MS,PD",PartialEpilepsy
9342,SEMA6D,PLXNC1,"AnorexiaNervosa,MajorDepressiveDisorder,RestlessLeg,Schizophrenia,UnipolarDepression",MS
9366,SEMA3A,PLXNA4,UnipolarDepression,"BipolarDisorder,Schizophrenia"
9367,SEMA3B,PLXNA4,NeuroticDisorder,"BipolarDisorder,Schizophrenia"
9368,SEMA6D,PLXNA4,"AnorexiaNervosa,MajorDepressiveDisorder,RestlessLeg,Schizophrenia,UnipolarDepression","BipolarDisorder,Schizophrenia"
9375,SLIT3,ROBO2,BipolarDisorder,"Schizophrenia,UnipolarDepression"
9378,SLIT3,ROBO1,BipolarDisorder,UnipolarDepression
9409,APOB,TREM2,"AD,BipolarDisorder",FrontotemporalDementia
9410,APOE,TREM2,"AD,LBD,PD",FrontotemporalDementia
9412,SEMA6D,TREM2,"AnorexiaNervosa,MajorDepressiveDisorder,RestlessLeg,Schizophrenia,UnipolarDepression",FrontotemporalDementia
9413,APOE,CHRNA4,"AD,LBD,PD","ALS,FrontotemporalDementia,PartialEpilepsy"
9426,SNCA,IDE,"LBD,PD",ALS
9428,SNCA,SLC10A2,"LBD,PD",AD
9520,LAMB3,SV2C,ALS,PD
9531,LAMB3,DAG1,ALS,UnipolarDepression
9534,CD6,DAG1,MS,UnipolarDepression
9659,LGI1,RTN4R,PartialEpilepsy,Schizophrenia
9686,PILRA,BTN3A2,AD,"BipolarDisorder,MajorDepressiveDisorder,Schizophrenia"
