,index,gene,pagerank_score,source_disease,ensembl_gene_id,druggability_tier,hgnc_names,chr_b37,start_b37,end_b37,strand,description,no_of_gwas_regions,small_mol_druggable,bio_druggable,adme_gene
54,54,NMUR2,0.0025841525115073,BipolarDisorder,ENSG00000132911,Tier 3B,NMUR2,5,151771093.0,151812929.0,-1.0,neuromedin U receptor 2 [Source:HGNC Symbol;Acc:16454],0.0,1.0,1.0,1.0
54,54,NMUR2,0.0025841525115073,MajorDepressiveDisorder,ENSG00000132911,Tier 3B,NMUR2,5,151771093.0,151812929.0,-1.0,neuromedin U receptor 2 [Source:HGNC Symbol;Acc:16454],0.0,1.0,1.0,1.0
54,54,NMUR2,0.0025841525115073,MigraineDisorder,ENSG00000132911,Tier 3B,NMUR2,5,151771093.0,151812929.0,-1.0,neuromedin U receptor 2 [Source:HGNC Symbol;Acc:16454],0.0,1.0,1.0,1.0
54,54,NMUR2,0.0025841525115073,OCD,ENSG00000132911,Tier 3B,NMUR2,5,151771093.0,151812929.0,-1.0,neuromedin U receptor 2 [Source:HGNC Symbol;Acc:16454],0.0,1.0,1.0,1.0
54,54,NMUR2,0.0025841525115073,SCZ,ENSG00000132911,Tier 3B,NMUR2,5,151771093.0,151812929.0,-1.0,neuromedin U receptor 2 [Source:HGNC Symbol;Acc:16454],0.0,1.0,1.0,1.0
54,54,NMUR2,0.0025841525115073,Tourette,ENSG00000132911,Tier 3B,NMUR2,5,151771093.0,151812929.0,-1.0,neuromedin U receptor 2 [Source:HGNC Symbol;Acc:16454],0.0,1.0,1.0,1.0
56,56,CD86,0.0024908696091428,MS,ENSG00000114013,Tier 1,CD86,3,121774213.0,121839983.0,1.0,CD86 molecule [Source:HGNC Symbol;Acc:1705],1.0,1.0,1.0,1.0
58,58,PLCG2,0.0024281172761519,AD,ENSG00000197943,Tier 2,PLCG2,16,81772702.0,81991899.0,1.0,"phospholipase C, gamma 2 (phosphatidylinositol-specific) [Source:HGNC Symbol;Acc:9066]",0.0,1.0,1.0,1.0
59,59,CLEC2D,0.0024199822632386,MS,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
61,61,CNTN4,0.0023776344000159,AnorexiaNervosa,ENSG00000144619,Tier 3A,CNTN4,3,2140497.0,3099645.0,1.0,contactin 4 [Source:HGNC Symbol;Acc:2174],2.0,1.0,1.0,1.0
61,61,CNTN4,0.0023776344000159,BipolarDisorder,ENSG00000144619,Tier 3A,CNTN4,3,2140497.0,3099645.0,1.0,contactin 4 [Source:HGNC Symbol;Acc:2174],2.0,1.0,1.0,1.0
61,61,CNTN4,0.0023776344000159,MajorDepressiveDisorder,ENSG00000144619,Tier 3A,CNTN4,3,2140497.0,3099645.0,1.0,contactin 4 [Source:HGNC Symbol;Acc:2174],2.0,1.0,1.0,1.0
61,61,CNTN4,0.0023776344000159,OCD,ENSG00000144619,Tier 3A,CNTN4,3,2140497.0,3099645.0,1.0,contactin 4 [Source:HGNC Symbol;Acc:2174],2.0,1.0,1.0,1.0
61,61,CNTN4,0.0023776344000159,RestlessLeg,ENSG00000144619,Tier 3A,CNTN4,3,2140497.0,3099645.0,1.0,contactin 4 [Source:HGNC Symbol;Acc:2174],2.0,1.0,1.0,1.0
61,61,CNTN4,0.0023776344000159,SCZ,ENSG00000144619,Tier 3A,CNTN4,3,2140497.0,3099645.0,1.0,contactin 4 [Source:HGNC Symbol;Acc:2174],2.0,1.0,1.0,1.0
61,61,CNTN4,0.0023776344000159,Tourette,ENSG00000144619,Tier 3A,CNTN4,3,2140497.0,3099645.0,1.0,contactin 4 [Source:HGNC Symbol;Acc:2174],2.0,1.0,1.0,1.0
62,62,CD33,0.0023161056466308,AD,ENSG00000105383,Tier 1,CD33,19,51728320.0,51747115.0,1.0,CD33 molecule [Source:HGNC Symbol;Acc:1659],1.0,1.0,1.0,1.0
66,66,SCN1A,0.0020708614087032,Epilepsy,ENSG00000144285,Tier 1,SCN1A,2,166845670.0,166984523.0,-1.0,"sodium channel, voltage-gated, type I, alpha subunit [Source:HGNC Symbol;Acc:10585]",6.0,1.0,1.0,1.0
67,67,SCN2A,0.0020708614087032,BipolarDisorder,ENSG00000136531,Tier 1,SCN2A,2,166095912.0,166248818.0,1.0,"sodium channel, voltage-gated, type II, alpha subunit [Source:HGNC Symbol;Acc:10588]",1.0,1.0,1.0,1.0
69,69,CD58,0.0020584914415673,MS,ENSG00000116815,Tier 3A,CD58,1,117057157.0,117113661.0,-1.0,CD58 molecule [Source:HGNC Symbol;Acc:1688],3.0,1.0,1.0,1.0
73,73,ANXA1,0.001934618495766,SCZ,ENSG00000135046,Tier 3A,ANXA1,9,75766673.0,75785309.0,1.0,annexin A1 [Source:HGNC Symbol;Acc:533],0.0,1.0,1.0,1.0
75,75,BDNF,0.0018791003393661,RestlessLeg,ENSG00000176697,Tier 3A,BDNF,11,27676440.0,27743605.0,-1.0,brain-derived neurotrophic factor [Source:HGNC Symbol;Acc:1033],15.0,1.0,1.0,1.0
77,77,CR1,0.0018514771337288,AD,ENSG00000203710,Tier 3A,CR1,1,207669492.0,207813992.0,1.0,complement component (3b/4b) receptor 1 (Knops blood group) [Source:HGNC Symbol;Acc:2334],8.0,1.0,1.0,1.0
84,84,ACE,0.0017912161700943,AD,ENSG00000159640,Tier 1,ACE,17,61554422.0,61599205.0,1.0,angiotensin I converting enzyme [Source:HGNC Symbol;Acc:2707],13.0,1.0,1.0,1.0
84,84,ACE,0.0017912161700943,SCZ,ENSG00000159640,Tier 1,ACE,17,61554422.0,61599205.0,1.0,angiotensin I converting enzyme [Source:HGNC Symbol;Acc:2707],13.0,1.0,1.0,1.0
85,85,ESR2,0.0017912161700943,AD,ENSG00000140009,Tier 1,ESR2,14,64550950.0,64804830.0,-1.0,estrogen receptor 2 (ER beta) [Source:HGNC Symbol;Acc:3468],1.0,1.0,1.0,1.0
85,85,ESR2,0.0017912161700943,AnorexiaNervosa,ENSG00000140009,Tier 1,ESR2,14,64550950.0,64804830.0,-1.0,estrogen receptor 2 (ER beta) [Source:HGNC Symbol;Acc:3468],1.0,1.0,1.0,1.0
85,85,ESR2,0.0017912161700943,BipolarDisorder,ENSG00000140009,Tier 1,ESR2,14,64550950.0,64804830.0,-1.0,estrogen receptor 2 (ER beta) [Source:HGNC Symbol;Acc:3468],1.0,1.0,1.0,1.0
85,85,ESR2,0.0017912161700943,MajorDepressiveDisorder,ENSG00000140009,Tier 1,ESR2,14,64550950.0,64804830.0,-1.0,estrogen receptor 2 (ER beta) [Source:HGNC Symbol;Acc:3468],1.0,1.0,1.0,1.0
85,85,ESR2,0.0017912161700943,OCD,ENSG00000140009,Tier 1,ESR2,14,64550950.0,64804830.0,-1.0,estrogen receptor 2 (ER beta) [Source:HGNC Symbol;Acc:3468],1.0,1.0,1.0,1.0
85,85,ESR2,0.0017912161700943,SCZ,ENSG00000140009,Tier 1,ESR2,14,64550950.0,64804830.0,-1.0,estrogen receptor 2 (ER beta) [Source:HGNC Symbol;Acc:3468],1.0,1.0,1.0,1.0
85,85,ESR2,0.0017912161700943,Tourette,ENSG00000140009,Tier 1,ESR2,14,64550950.0,64804830.0,-1.0,estrogen receptor 2 (ER beta) [Source:HGNC Symbol;Acc:3468],1.0,1.0,1.0,1.0
88,88,IL22RA2,0.0017708291952823,Epilepsy,ENSG00000164485,Tier 3A,IL22RA2,6,137464968.0,137494785.0,-1.0,"interleukin 22 receptor, alpha 2 [Source:HGNC Symbol;Acc:14901]",0.0,1.0,1.0,1.0
88,88,IL22RA2,0.0017708291952823,MS,ENSG00000164485,Tier 3A,IL22RA2,6,137464968.0,137494785.0,-1.0,"interleukin 22 receptor, alpha 2 [Source:HGNC Symbol;Acc:14901]",0.0,1.0,1.0,1.0
89,89,LINGO1,0.0017699115044247,AD,ENSG00000169783,Tier 1,LINGO1,15,77905369.0,78113242.0,-1.0,leucine rich repeat and Ig domain containing 1 [Source:HGNC Symbol;Acc:21205],1.0,1.0,1.0,1.0
89,89,LINGO1,0.0017699115044247,MajorDepressiveDisorder,ENSG00000169783,Tier 1,LINGO1,15,77905369.0,78113242.0,-1.0,leucine rich repeat and Ig domain containing 1 [Source:HGNC Symbol;Acc:21205],1.0,1.0,1.0,1.0
89,89,LINGO1,0.0017699115044247,SCZ,ENSG00000169783,Tier 1,LINGO1,15,77905369.0,78113242.0,-1.0,leucine rich repeat and Ig domain containing 1 [Source:HGNC Symbol;Acc:21205],1.0,1.0,1.0,1.0
90,90,SORL1,0.0017699115044247,AD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
92,92,MAPT,0.0017699115044247,AD,ENSG00000186868,Tier 1,MAPT,17,43971748.0,44105700.0,1.0,microtubule-associated protein tau [Source:HGNC Symbol;Acc:6893],19.0,1.0,1.0,1.0
92,92,MAPT,0.0017699115044247,MajorDepressiveDisorder,ENSG00000186868,Tier 1,MAPT,17,43971748.0,44105700.0,1.0,microtubule-associated protein tau [Source:HGNC Symbol;Acc:6893],19.0,1.0,1.0,1.0
92,92,MAPT,0.0017699115044247,PD,ENSG00000186868,Tier 1,MAPT,17,43971748.0,44105700.0,1.0,microtubule-associated protein tau [Source:HGNC Symbol;Acc:6893],19.0,1.0,1.0,1.0
92,92,MAPT,0.0017699115044247,PSP,ENSG00000186868,Tier 1,MAPT,17,43971748.0,44105700.0,1.0,microtubule-associated protein tau [Source:HGNC Symbol;Acc:6893],19.0,1.0,1.0,1.0
92,92,MAPT,0.0017699115044247,SCZ,ENSG00000186868,Tier 1,MAPT,17,43971748.0,44105700.0,1.0,microtubule-associated protein tau [Source:HGNC Symbol;Acc:6893],19.0,1.0,1.0,1.0
93,93,ATP2A2,0.0017699115044247,MajorDepressiveDisorder,ENSG00000174437,Tier 3B,ATP2A2,12,110718561.0,110788898.0,1.0,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 [Source:HGNC Symbol;Acc:812]",2.0,1.0,1.0,1.0
