genes,AD,BipolarDisorder,MajorDepressiveDisorder,MigraineDisorder,PD,RestlessLeg,SCZ
DMRTA1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DPH6,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DRD2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EMB,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EMX1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EPHA1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC4,0.0,1.0,1.0,0.0,0.0,0.0,1.0
ESAM,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EYS,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FAM47E,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FANCL,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FES,0.0,1.0,0.0,0.0,0.0,0.0,1.0
FGF5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FHIT,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FHL5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
FOXP2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FUT9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GBA1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GPM6A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GPNMB,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GRIA1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GRIN2A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GRM3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GRN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HCN1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HIP1R,0.0,0.0,0.0,0.0,1.0,0.0,0.0
HIVEP2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HS3ST1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IDUA,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IGSF9B,0.0,0.0,0.0,0.0,1.0,0.0,1.0
IL5RA,0.0,0.0,0.0,0.0,0.0,1.0,0.0
IRAG1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ITPKB,0.0,0.0,0.0,0.0,1.0,0.0,0.0
KCNK5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
KCNV1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LMAN2L,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LRFN5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LRRK2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MAD1L1,0.0,1.0,1.0,0.0,0.0,0.0,1.0
MEIS1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MEIS2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
METTL15,0.0,0.0,1.0,0.0,0.0,0.0,0.0
METTL9,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MMP16,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MPPED2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MRGPRE,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MS4A6A,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NCAM1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NCK2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NCOA5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NECTIN2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NEGR1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
NFIA,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NMUR2,0.0,1.0,0.0,0.0,0.0,0.0,1.0
NRGN,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NUCKS1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NUF2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
OLFM4,0.0,0.0,1.0,0.0,0.0,1.0,0.0
PAX5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PAX6,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PCDH9,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PCLO,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PHACTR1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PICALM,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PILRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PJA1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PLCE1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PLCG2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
POU3F3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PPARGC1A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PRDM16,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRMT6,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PTAR1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PTPRD,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RAB27B,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RBFOX1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
REEP3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RERE,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RGS6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RIT2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RNF213,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SATB2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SCN2A,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SDCCAG8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SEMA6D,0.0,0.0,1.0,0.0,0.0,1.0,0.0
SETBP1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SH3GL2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SHARPIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC24A4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC39A8,0.0,0.0,1.0,0.0,0.0,0.0,1.0
SLC45A3,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SNAP91,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SNCA,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SORCS3,0.0,0.0,1.0,0.0,0.0,0.0,1.0
SORL1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SOX5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SOX6,0.0,0.0,1.0,0.0,0.0,0.0,0.0
STK39,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SUGCT,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TCF4,0.0,0.0,1.0,0.0,0.0,0.0,1.0
THOC7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
THSD7A,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TLR4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TMEM106B,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TMEM175,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TMTC1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TREM2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TRNT1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRPM8,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TSNARE1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TUSC1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
VRK2,0.0,1.0,1.0,0.0,0.0,0.0,1.0
WSCD2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZNF536,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZNF804A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZSWIM6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
