genes,AD,BipolarDisorder,MajorDepressiveDisorder,MigraineDisorder,MS,PD,RestlessLeg,SCZ
BIN1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLTP1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BNIP3L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BRINP2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BST1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BTBD9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BTG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C16orf82,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CACNA1C,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
CACNA1E,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CACNA1I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CADM1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CALCA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CALN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CARMIL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CASS4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASZ1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CBLB,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CCDC148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CD2AP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CD40,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
CD5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CD58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CD86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CDH6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CDIN1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CELF4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CEP170,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHMP3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CHRM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CHRNA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CIR1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CITED1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CLNK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNKSR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CNNM4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CNTLN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CNTN4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
CNTN5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CNTNAP5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
COL4A1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
COX7C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRBN,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CSMD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CTSB,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CTSF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CTTNBP2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CUL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CYP24A1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DACH1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DCAF12L2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DCC,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
DCDC1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DCDC2C,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DENND1A,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DENND1B,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DMRTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DPH6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DPYD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DRD2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EFNA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ELAVL2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ELAVL4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EMX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENOX1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000289710,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EPHA1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPHA4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EPPK1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ERCC4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
ERG,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ESAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ESR1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EVI5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EXOC4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EYS,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
FAM114A1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FAM47E,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FANCL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FBXL22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FES,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
FGF5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FHIT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
FHL5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FIGN,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FLG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FOXG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FOXO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FOXP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FOXP2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FRG1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FRMD4A,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FUT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FXR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FYN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GAK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GATA3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GBA1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GCKR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GJA1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GPM6A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GPNMB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GRIA1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
GRIK3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GRIN2A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
GRM3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
GRM5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GRN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSDME,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HCN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HIP1R,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
HIVEP2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HPSE2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HRNR,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
HS3ST1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDUA,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IGSF9B,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
IL1RAPL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
IL2RA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IL34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL5RA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
IL7R,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
INPP4B,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
INPP5D,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRAG1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ITIH1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
ITIH3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ITIH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ITPKB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
JAG1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
KCNA4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KCNG2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KCNK5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
KCNV1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
KLF12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KLF6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
KLF7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LINC03051,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LINGO2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LMAN2L,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LRFN5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LRP1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LRRK2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LRRN1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MAD1L1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
MAML3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MCCC1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MDFIC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MECOM,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MEF2C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MEIS1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MEIS2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
METTL15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
METTL9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MMEL1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MMP16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MOB3B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPPED2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MRGPRE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MS4A6A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSRA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
NBAS,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NCAM1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NCK2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCOA5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NDST4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NECTIN2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEDD1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NEGR1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
NFIA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NLGN1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NMB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
NMUR2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
NOVA1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NPAS3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
NPVF,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NR4A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NRDC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NRGN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NRIP1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NRXN1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NT5C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NUCKS1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NUF2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
OARD1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLFM4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
OMA1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
OTOL1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
OTX2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PAX5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PAX6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PCDH17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PCDH9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PCLO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PHACTR1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PICALM,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIK3C3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PILRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIPOX,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PJA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PLCE1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PLCG2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLEK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PLXNA2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PMFBP1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
POC5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
POU3F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PPARGC1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PPP1R16B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PRDM16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PRKD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PRMT6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PRR16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRSS8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTAR1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PTBP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PTGER4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PTK2B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PTPRD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RAB27B,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RALGPS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RASA1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASGEF1C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBFOX1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
REEP3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RERE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RGS1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RGS6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
RIMS1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RIN3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIT2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RNF213,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RORA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RSRC1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RUNDC3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SATB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SCN2A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SCN3A,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SDCCAG8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SEMA6D,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SETBP1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SGIP1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SH3GL2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SHARPIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIPA1L2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SKOR1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SLC24A3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SLC24A4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC2A13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SLC39A8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
SLC45A3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SLCO3A1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SNAP91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SNCA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SNX19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SORCS3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
SORL1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOX5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SOX6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SP140,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SPATA31D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SPATS2L,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SPRY2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
STARD9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
STK39,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SUGCT,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TAGAP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TCF4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
TCF7L2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TENM2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TENM4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TEX13C,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
THOC7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
THSD7A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TLR4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TMEM106B,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TMEM121,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM175,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TMPO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TMTC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TNFRSF1A,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TNFSF14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TOMM40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TREM2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIB2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRNT1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRPM3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRPM8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TSNARE1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
TUSC1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VPS13C,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VRK2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
VSIG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WSCD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZBTB20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZDHHC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZEB2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZFPM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZMYND8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZNF536,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ZNF652,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF804A,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
ZSWIM6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
